uID,Context
BNC-1,Polly had to think quickly.
BNC-1002,"Nevertheless, life went on as it always does. By the accidents of distance and dates of birth both the Kiwi Keith and the Mackenzie houses had been spared the effects of war and neither knew the pain of loss or the sadness of wounds in young bodies."
BNC-1003,"He patted her hand. If he had chosen to, Thomas might have told her in no uncertain terms what was wrong."
BNC-1005,"She could see his distorted image in the slanted glass of the car's windows, dim in the background, still lit by his instruments. She wondered how she could ever have thought that she loved him, and why she had stayed with him for so long after she 'd realised that if she ever had, she did not love him now."
BNC-1006,"She glanced around the room, laying her hot flushed face against the cool pillow, listening to the bang of a cupboard door below, the chinks of crockery. The room seemed empty without him, strange and unfriendly."
BNC-1010,"In the clenched-to-cracking night We mouthed the hope, gave it a name: twenty-sixty-two still trembles in the flinching air and catches, bright rag on a bramble. At supper earlier the three of us had talked of Californian scientists who see the foetal heart accelerate translucent fingers tense and eye-muscles steer frantically through their dark when sounds of a high-revving motor are played to swelling, quizzically-smiling moms and wondered if there's anywhere on earth-Australasia or Amazonian forest-to find an unborn innocent of engines."
BNC-1012,"Dynmouth was becoming a nasty kind of place.'' Poor Miss Poraway,'' Quentin said as they washed the tea dishes, and Lavinia - not feeling agreeably disposed towards Miss Poraway - did not say anything."
BNC-1014,Stan was running a business and needed funds to buy stock and time to work on new finds. The price proposed was on the open market and Stuttgart was happy to offer it.
BNC-1015,It was a complex language. Not written down but handed down.
BNC-1018,"Some would say her hair is her finest feature, though Robyn herself secretly hankers after something more muted and malleable, hair that could be groomed and styled according to mood - drawn back in a severe bun like Simone de Beauvoir's, or allowed to fall to the shoulders in a Pre-Raphaelite cloud. As it is, there is not much she can do with her curls except, every now and again, crop them brutally short just to demonstrate how inadequately they represent her character."
BNC-1019,"Hardly, thought Jaq. Nor could Obispal exactly be viewed as incompetent, despite his last-moment slackening of judgement when he charged into that trap in the arcade."
BNC-1020,"Perhaps I should apologize for my tears. As a rationalist, I had but to snap my rational fingers, it might be argued, and the devil would fade away in a puff of smoke."
BNC-1024,"It is part of their religion, a religion I do not scoff at as it holds many elements which match our own even though it lacks the truth of ours. At one of their great festivals they have the ritual of driving out the devils from their bodies."
BNC-1031,He looked at me questioningly.
BNC-1032,"The kitchen radiator doesn't work and the Calorgas fire hadn't warmed the place up yet. I began to wonder about how long hypothermia takes to kill someone, I mean what if I left Mum there overnight - would that be long enough?"
BNC-1035,At this rate I 'll be a Homelessness Statistic. A student!
BNC-1046,"The Paris to Rouen railway was being extended to Le Havre, and the line cut straight through Dr Flaubert's land. Part of it was to be compulsorily purchased."
BNC-1047,Part of it was to be compulsorily purchased. You could say that Gustave was shepherded into creative retreat at Croisset by epilepsy.
BNC-1048,"That day it all came out. Constanza tried to follow her out of the hotel-as she was very very upset, my grandmother-but Constanza was too late."
BNC-1049,"Some of them, like for instance the farm in Connecticut, are quite small. If I like a place I buy it."
BNC-1055,When Matt married Inez I was left high and dry. A year later I met a sales rep for an agricultural firm and married him.
BNC-106,She spoke - more slowly than she had spoken before - and Fatima listened with a concentrated intensity that she never lent to Marie Claire's requests and detailed instructions. It was evident in all their dealings that no matter how Marie Claire bestirred herself the maids would do things as they had always done them.
BNC-1063,"Look, my dear, I'm not in my dotage yet, and I know I'm a grumbler and a complainer."
BNC-1066,I should think that just about everyone was having a go at everyone else by the time it ended.
BNC-1068,"Then the silence in the Zoo became complete. Woil stared around him and then suddenly with a push of his wings raised himself into the air, turned, and landed ten feet away on the back of a green bench."
BNC-1069,The car engine roared again and the red car moved off but it didn't go far. Stuart's Mum was reversing out of her space and her car was blocking the way.
