uID,Prompt
BNC-1,Polly was not an experienced ocean sailor
BNC-1002,the Kiwi Keith and the Mackenzie houses had prospered
BNC-1003,some time in the middle of the nineteenth century a cult had grown up around the idea of the home
BNC-1005,it was for the children
BNC-1006,it was all right
BNC-1010,Sheila's firstborn had shared in man's first giant steps
BNC-1012,Lavinia was sorry now
BNC-1014,compared to the prices paid for works of art $180 000 is a modest sum for a unique creature - the oldest reptile on earth
BNC-1015,the language was peeled down
BNC-1018,the grey-green eyes are a little close-set
BNC-1019,Obispal's activities were directly responsible for triggering the rebellion
BNC-1020,he had spent too many years in his capacity as church architect investigating the fossils of a dead faith not to have imbibed something of the old superstitions
BNC-1024,no women are allowed to take part in this ritual
BNC-1031,she minded like hell
BNC-1032,Mum must have gone wandering
BNC-1035,she is a student
BNC-1046,Gustave was shepherded into creative retreat at Croisset by epilepsy
BNC-1047,Gustave was driven to creative retreat in Croisset by the railway
BNC-1048,the grandmother died of moral shock
BNC-1049,buying places is a hobby
BNC-1055,the marriage was on the rebound
BNC-106,Fatima would find no husband have no children and lose her life to Leviathan
BNC-1063,the only form of comfort he has are his complaints
BNC-1066,it was a war that needed fighting
BNC-1068,Woil was afraid
BNC-1069,the red car was going to turn back
BNC-107,Harvey's son didn't suffer at all
BNC-1070,something had happened
BNC-1071,marriage to Jonathan would have been a ghastly mistake
BNC-1074,the girl had a point
BNC-1075,the Major's hands trembled
BNC-1077,Roman was under considerable strain
BNC-1080,behind the house was a vast garden
BNC-1082,outstanding looks could be more of a curse than a blessing
BNC-1083,Ariel was as well as could be expected
BNC-1086,Guido's brain was whirring
BNC-1087,it was a child
BNC-1089,the paper said very little
BNC-1091,the elaborate cornices and mouldings gave a myriad opportunities to a good wire man
BNC-1092,Jimmy was unprepared to show he had been shaken
BNC-1093,the house was returned to something like the order which Signor Kettering expected of it
BNC-1094,locking up a Masai for a crime he did not understand was cruel and inhuman
BNC-1095,Alan meant it
BNC-1099,his character had not improved since he had heard about his expectations
BNC-1100,the residents used extra thick curtains
BNC-1101,any weakness was pounced upon by the other boys
BNC-1102,Mala was scowling and stiffening into a Mark 2 temper
BNC-1106,the ex-soldier was afraid but trying hard not to show it
BNC-1111,Jamie should write something for Fem Sap
BNC-1114,John Major's media advisers were earning their keep
BNC-1116,they should become engaged
BNC-1121,Tom and Alice were lovers
BNC-1122,Bunny's initial suspicion had been stilled
BNC-1123,another has gone with Will Slaughter
BNC-1124,Manville had picked the name out completely at random
BNC-1127,Godolphin took trips
BNC-1129,Adam was down here
BNC-1130,something had happened between them
BNC-1131,Roland nourished these demeaning fantasies
BNC-1132,Peter Redburn intended to whisper obscenities in Ginny's ear
BNC-1133,the headline had already been selected
BNC-1134,some giant world-spider had swung from hive to hive spinning ropes
BNC-1135,Ramsburn was seriously feeling grief
BNC-1136,the prior was being teased
BNC-1137,Lorton had a hand in Newley's disappearance
BNC-1141,Stella didn't wear a slip
BNC-1142,Nora was genuinely appalled
BNC-1144,Niall was furious
BNC-1145,this was Tina's mother
BNC-1146,David and his mother were approaching a crisis point
BNC-1147,the glazier would have liked to stop for a chat
BNC-1148,Adam didn't know what was happening to him
BNC-1150,something was wrong
BNC-1154,Amanda hadn't really got her nose in the Reverend Abraham
BNC-1158,Mr Evans hadn't stolen the Will after all
BNC-1159,that Nora also felt that she was looking good
BNC-116,Ashley was going to demand an immediate showdown with the model
BNC-1160,the call was long-distance
BNC-1163,something had happened
BNC-1164,the car was being driven back up the hill towards Putna
BNC-1166,the bird was Carmellina's true love under a spell from the wicked enchantress
BNC-1169,his father was looking at him from the other end of the table
BNC-1173,Gillian and Stuart weren't thrilled to see her at the airport
