uID,Target
BNC-1,They were still close enough to shore for him to return her to the police if she admitted she was not an experienced ocean sailor.
BNC-1002,Indeed it could be said that they had prospered.
BNC-1003,He might have said to her that some time in the middle of the nineteenth century a cult had grown up around the idea of the home.
BNC-1005,Of course she could say it was for the children as people always did... It was true up to a point.
BNC-1006,Robyn swallowed and took a deep breath trying to compose herself so that when he returned she could say that it was all right she felt fine now.
BNC-1010,Then it was time to watch ``Tomorrow's World'' and I thought of Sheila with her firstborn encircling him with Mozart in the womb but waking him at three months ' old to be a witness to be held up towards the moon on television so one day he could say he 'd shared in man's first giant steps.
BNC-1012,She wished she could say she was sorry now not in the middle of the night when he was asleep.
BNC-1014,Some might say that compared to the prices paid for works of art $180 000 is a modest sum for a unique creature - the oldest reptile on earth.
BNC-1015,One might say it was peeled down.
BNC-1018,Her face is comely enough to take short hair though perfectionists might say that the grey-green eyes are a little close-set and the nose and chin are a centimetre longer than Robyn herself would have wished.
BNC-1019,A cynic might say that Obispal's activities were directly responsible for triggering the rebellion and thus for all the deaths including those of millions of bystanders.
BNC-1020,To which I might say that rationalist or not I had spent too many years in my capacity as church architect investigating the fossils of a dead faith not to have imbibed something of the old superstitions.
BNC-1024,First the drummers come on - I may say that no women are allowed to take part in this ritual and the ladies here will perhaps agree with me that they are fortunate in that omission.
BNC-1031,I wished I could say yes I minded like hell it wouldn't cost me much in the circumstances.
BNC-1032,I could say that she must have gone wandering.
BNC-1035,I could say I'm a student.
BNC-1046,You could say that Gustave was shepherded into creative retreat at Croisset by epilepsy.
BNC-1047,You could also say he was driven there by the railway.
BNC-1048,You could say that she died of... moral shock.
BNC-1049,I guess you could say it's a hobby.
BNC-1055,You could say it was on the rebound but I had no reason to regret it.
BNC-106,Now watching her I thought that Fatima might at this girl's behest change her life her ways and I wondered what she would do if she was hearing that she would find no husband have no children lose her life to Leviathan.
BNC-1063,You could say the only form of comfort I 've got are my complaints.
BNC-1066,But I suppose you could say that it was a war that needed fighting.
BNC-1068,Creggan could see that he was afraid and that his fear was making him terribly uncertain.
BNC-1069,Stuart could see that the red car was going to turn back.
BNC-107,It 'll help Harvey if he hears his son didn't suffer none.
BNC-1070,He could see that something had happened.
BNC-1071,Now in retrospect she could see that marriage to him would have been a ghastly mistake and that her reaction to discovering that he had been seeing other women while he had been engaged to her had had far more to do with wounded pride than with a wounded heart.
BNC-1074,Even some of the Sisters here in Dublin might see that the girl had a point.
BNC-1075,His hands hung simply by his trouser pockets ungloved and Rudakov could see that they trembled.
BNC-1077,``I need something stronger than coffee '' he said and Claudia could see that he was under considerable strain.
BNC-1080,As they rounded the edge of the building he could see that behind the house was a vast garden.
BNC-1082,It was not something he had considered much before now but he could see that outstanding looks could be more of a curse than a blessing.
BNC-1083,Kit ordered Ariel brought so that the islanders could see she was as well as could be expected and recovering from the wound to her thigh.
BNC-1086,Ronni could see that Guido's brain was whirring.
BNC-1087,She took her foot off the accelerator and put it on the brake and as the car slowed she could see now that it was a child a toddler with a red woolly hat on.
BNC-1089,He waved the paper at her and even at a distance she could see that it said very little.
BNC-1091,Looking around he remembered it was difficult to plant bugs actually inside panelling but even his half-trained eye could see that the elaborate cornices and mouldings gave a myriad opportunities to a good wire man.
BNC-1092,Jimmy had been shaken by those sounds more shaken than the others for good reason but Cardiff could see that he was unprepared to show it as he pushed himself away from the reception counter.
BNC-1093,Despite this disastrous beginning however Giovanna would be there in the morning her own family circumstances permitting and she would be much obliged if the Signora would make sure that her children were up and dressed and the breakfast eaten so that she could see that the house was returned to something like the order which Signor Kettering expected of it.
BNC-1094,Claudia could see that locking up a Masai for a crime he did not understand was cruel and inhuman.
BNC-1095,Carolyn agreed because she could see he meant it although she didn't understand why.
BNC-1099,I could see that my character had not improved since I had heard about my expectations.
BNC-1100,That at least had a light showing and at first I thought the rest of the building was in total darkness but as I crunched gravel and got closer I could see they used extra thick curtains maybe left-overs from the Blackout.
