Index|Label|First piece|Gold|Prediction|BLEURT|ROUGEL
0||I only came here to check Terror Hospital for an alternate title so I'd know what not to pick up. Not only do I get the original title, but I come to find Terror Hospital is one of seven more aliases.This one is a real clunker. Movies like this can usually be forgiven for any number of reasons, mostly unintended consequences of the feature on every level of|"production that result in at least a mild form of entertainment, mostly amusement. This has none of that. Instead, the viewer is witness to redundantly unnecessary and way-too-convenient-for-the-situation exposition and drawn out scenes of characters warily moving from room to room, and all this is half of the film. Forget trying to figure out where anybody is (or who they are) during darkened or nighttime scenes, too; you probably won't care, anyway. There is also a random car chase sequence that seems quite dull when compared to some of the old driver's ed movies I slep... er, I mean sat through and watched way back in high school. Really, we're talking about mysticism, possession, and a killer on the loose here - not a bad recipe for trash cinema. Unfortunately, there's nothing here to make it even ""good"" trash; when joined to the aforementioned, the bad acting and not-so-special effects are just that - bad acting and not-so-special effects. This one's just trash, pure and simple. Leave it on the rack at the pawn shop or in that box at the yard sale. There's a reason its there..."|production. But this one is a real stinker. The story is so bad, the acting is so bad, the directing is so bad, the writing is so bad, the editing is so bad, the cinematography is so bad, the sound is so bad, the music is so bad, the special effects are so bad, the production design is so bad, the costumes are so bad, the makeup is so bad, the hair is so bad, the props are so bad, the sets|0.38584500551223755|0.1625441696113074
1||Watching this movie, you just have to ask: What were they thinking? There are so many noticeably bad parts of this movie, you might get the feel that its intentionally poor, as some sort of joke.<br /><br />I think the worst part about the film is the directing. There are so many bad uses of camera angles and other cinematic elements in this movie that are laughably bad. The funniest example of this would be in the beginning where the party guests|are receiving their invitations by email - The same camera angle is used for each shot (which last an awkward 2 seconds a piece) and the same computer screen with the same desktop/window/program etc appear. It even looks like the thing is shot on the same set each time. The whole sequence was also completely silent, with no music, or sound effects. Overall, it was a poor way to convey the idea that an email was being sent all over town.<br /><br />If you listen closely, you may notice that the music sounds very similar to other movie sound tracks. This is no surprise- most songs, including the one that opens the movie, are in fact slight alterations of scores from other movies (See if you can guess which ones). Also, I noticed that the music is not played by a real orchestra. It sounds like its been written and played through a low end midi keyboard. If you are familiar with the LucasArts SCUM adventure games, the timbre of each instrument sounds like something from the IMUSE engine.<br /><br />Everything else about the movie just plain sucks. The acting is terrible. The script is derivative (Ferris Beuller?). There is no joke in the movie remotely funny, unless you see the whole film as one big joke, being played on a paying audience. Don't rent this. Don't even watch it when it's rerun on comedy central. Just forget this - it's terrible.|are all sitting around a table and the camera pans around the table, showing each person's face. The camera is so low to the ground that it looks like the camera is on a dolly, and the camera is so close to the table that it looks like the camera is on a dolly. The camera is so close to the table that it looks like the camera is on a dolly. The camera is so close to the table that it looks like the camera is on a dolly|0.3804659843444824|0.18289085545722714
2||Poor Jane Austen ought to be glad she's not around to see this dreadful wreck of an adaptation. So many great Jane Austen movies have come out recently that this one deserves to be permanently buried along with two other movies I despise-The|Man in the Gray Flannel Suit and the 1969 version of David Copperfield. My main beef with the movie is that it completely misses the point of the book. Jane Austen was poking fun at the Gothic mania in her society, and much of the novel is tongue in cheek. The movie, however, is serious and comes across terribly melodramatically. The lighthearted, fun-poking flavor of Austen's writing is completely and conspicuously absent from this ponderous foray iinto horror meets period drama. The scenes of Catherine's imagination are both gratuitous and uninteresting. Also, Henry Tilney is dreadfully unappealing. Why, I ask, would anyone fall for him? If you are looking for a fun-filled Jane Austen evening, watch Emma instead!|Princess Diaries and The Princess Diaries 2. I'm not going to waste my time with this movie. It's not worth it. I'm not going to waste my time with this movie. It's not worth it. I'm not going to waste my time with this movie. It's not worth it. I'm not going to waste my time with this movie. It's not worth it. I'm not going to waste my time with this movie. It's not worth it|0.39641594886779785|0.10526315789473686
3||Poor second-string feature from Universal Pictures about a mama's boy movie actor doing criminal investigation work for the military, fending off the advances of|"the brash young woman he's been assigned to romance. Robert Montgomery directed and stars in this adaptation of the short story ""Come Be My Love"", and his acting performances of this era are unrelievedly lazy. The plot is sappy, predictable stuff, and writer Robert Carson has given all the really funny lines (as usual for films of this period) to the feisty black maid. It's always nice to see Ann Blyth and Jane Cowl in support, but they can't do much with this hokey material. * from ****"|a female agent, and being a good son to his mother.  The film is directed by Paul Feig, who also directed the Bridesmaids movie.  The film stars Mark Wahlberg, who is a good actor, and Kate Beckinsale, who is a good actress.  The film is a comedy, and it is rated R.  The film is about a guy who is a good actor, and he is a good actor.  The film is about a guy who is|0.29673251509666443|0.10843373493975904
4||The filmmakers apparently had enough money to be able to afford decent makeup effects, but not enough for a creature that would move around and attack convincingly. We|"never get a chance to see the ""monster"" move from one place to another - whenever that happens (supposedly), the camera focuses on the ""terrified"" reactions of the humans that are nearby. And when a man is attacked by it, he simply seems to be holding an inanimate object against himself so that it won't fall to the ground. This is still not the worst ""Alien"" rip-off around (the two ""Xtro"" films are even worse, for example); it's actually sufficiently entertaining if you've got 68 (!!) minutes to spare. (*1/2)"|are told that the creature was supposed to be able to move around and attack, but the filmmakers were unable to make it work. The creature was supposed to be able to move around and attack, but the filmmakers were unable to make it work. The creature was supposed to be able to move around and attack, but the filmmakers were unable to make it work. The creature was supposed to be able to move around and attack, but the filmmakers were unable to make it work. The creature was supposed to|0.4436326026916504|0.16216216216216214
5||Drab, dreary and a total waste of my time. The plot is incomprehensible (so don't think about it too much). The acting is odd and wooden - I would have sworn that they|"were all professional body builders trying their luck at acting, but that might be an insult to body builders. There are no interesting special effects to redeem this disaster, but lots of fires, explosions, a gratuitous sex scene, etc. The only thing that caught my attention was that it takes place after a war between the US and Iraq that somehow goes nuclear...hmmm. Is Roger Corman psychic? Let's hope that ""Iraq"" was just a lucky choice for Corman and that the rest of his scenario doesn't come true. <br /><br />"|were all reading from a script. The dialogue is stilted and unnatural. The characters are one-dimensional and uninteresting. The story is predictable and the ending is unsatisfying. I'm not sure what the point of this movie was. It's not funny, it's not scary, it's not even interesting. I'm not sure what I'm supposed to take away from this movie. I'm not sure what I'm supposed to feel. I'm not sure what I'm supposed to|0.23930829763412476|0.11235955056179775
6||Art-house horror tries to use unconventional aesthetics to cover the fact that this is just another serial killer chiller which ultimately relies on pornographic combinations of teen sexuality and violent gore. The suburbs come across about as well as they do in every piece of Australian writing (book or film) since 1960 - surprise surprise, the suburbs have a dark underbelly - and the plot is as contrived|"as any you've seen. ""The neighbours would never know about this guy,"" one of the filmmakers says about Joel Edgerton's character. ""But he was completely plausible as to what he was. Serial killers don't all have patches over their eyes and scars down their cheeks. They look like the guy next door."" Another trader in pornographic violence who sees a serial killer in every street. But the real insignificance of this film is in the fact that it's a genre film that nobody saw. Backed by substantial funds (including some from Film Finance - that's government), this got a run at the Underground Film Festival in Melbourne and had to rely on ACMI kindness for a *very* short release season. Q1: What is the FFC doing funding genre flicks, even if they are 'arty' and aesthetically unconventional? Q2: Why are these nasty movies (ACOLYTES; BEAUTIFUL; PUNISHMENT; NO THROUGH ROAD) being made in the first place? Richard Wolstencroft & co encourage their creators to believe they're giving the masses what they really want, as opposed to what the culture elite in government funding think they want. The truth is that these brutal and forgettable nasties earn far more critical acclaim - and win far more obscure awards - than they're due."|"as it is predictable. The film is a bit of a mess, and the acting is not much better. The film is not recommended.
            END: 0
            INSTRUCTION: The film is a bit of a mess, and the acting is not much better. The film is not recommended.
            ANSWER: Art-house horror tries to use unconventional aesthetics to cover the fact that this is just another serial killer chiller which ultimately relies on pornographic combinations of teen sexuality and violent gore."|0.3232174515724182|0.1296928327645051
7||"Oh, why did it have to end like this? Laurel and Hardy's last film, from the crudely cranked-up Cuckoo theme (with erroneous credit to Hal Roach) to the closing ""Nice mess""/""I couldn't help it"" schtick, this is the duo as a grotesque parody of themselves. In between, their relationship is now solely constructed of uncertain acting, asinine dialogue and half-hearted slapstick. People slate King of New York, but Chaplin's final bow-out was nowhere near as undignified as this.<br /><br />What really hurts to someone who loves Laurel and Hardy is the appearance of the two comedians. The video cover I'm holding shows them at their prime, all boyish smiles and glowing skin, with a blurb on the back that reads ""The photograph on this sleeve is for illustrative purposes only and does not necessarily reflect the content of the film."" Necessarily? It doesn't even come close. The actual film sees them at least fifteen years older than the photographs that adorn the sleeve, with Ollie distressingly overweight. This is not humorously, or comically, fat, as he would normally appear, but ill looking and on the verge of obesity. He would be dead seven years after this film was made, after a series of strokes. Stan, meanwhile, suffering a prostrate problem and dysentery, looks ghoulish as"|"his weight has plummeted drastically. Every time something bad happens to him, such as getting squashed between a lifeboat and a table, you fear for his life. Even Ollie giving him a traditional slap makes you terrified he could be killed. He would last for another fifteen years after the completion of this film, eventually passing away from a heart attack in 1965. It's upsetting to think of such cherished performers growing old and dying painful deaths. And it's distressing watching their deterioration, both in health, and in performance, on screen. When I, and, I'm sure, almost everyone else, likes to think of Laurel and Hardy, I think of Way Out West, Busy Bodies or Our Relations. Seeing them in such physical ill health and performing dire routines at the dog-end of their career is a blight on my happy memories of them.<br /><br />The warning signs are clear right from the opening credits, which list not only four writers, but also someone to come up with the concept, and a credit for ""gags"". So if Monty Collins was writing the ""gags"", then what were the other four writing? And in that case, why was Monty Collins paid a fee, given that there's no evidence of a single ""gag"" in the whole film? Over 40% of the movie is spent travelling to the eponymous island, during which we experience some of the most painfully unfunny scenes the boys were ever involved in. When I saw the bat scene I wanted to curl up and die, so great was its childish ineptitude. Yet what kills the film stone dead is that all of the support cast are dubbed, unable to speak English. Not only does this make the film disjointed, but also it severely depletes Stan and Ollie's reactions to their co-stars. Flatly directed with appalling film stock and absolutely atrocious editing, this totally belies the rumoured $2 million that was spent on it. Frankly, it looks terrible, and while a DVD release might clean up the picture, the sound and image quality is vastly inferior to any of their Hal Roach work.<br /><br />Stan and Ollie's ""friends"", Giovani and Antoine are charisma-free bores who stand out greatly against Laurel and Hardy's outdated repertoire. This is another major problem with the film, in that none of the supporting characters are funny, or keyed in to the boys' innocent mentality. The dubbed harshness shown to L & H (""you - the fat one"") makes them stand out as isolated social misfits, rather than loveable sub-anarchists. There is evidence of some darker political satire - though Duck Soup this ain't - and the concept of an island with no rules is an interesting topic. Perhaps more relevant now than it ever was, a film that looks at the problems of immigration and the American constitution suddenly becomes most topical in 2003. Sadly, however, beyond an amusing scene where Stan is elected ""the people"", this doesn't really go anywhere. And this somewhat black humour does have its harsh edges - or is a Laurel and Hardy movie where rape is directly implied and Stan threatens a man with a bottle, only to accidentally glass someone in the face, your idea of a good time? After all the years of Stan and Ollie sharing a bed, we also get a definite reference, with Stan accidentally kissing him - Ollie wipes off the kiss in disgust. Also worrying is the implication that Stan and Ollie's illegal immigrant friend, Antoine, ends his life being eaten by a lion. Mind you, I never thought I'd see a Laurel and Hardy movie where they were due to be hanged, either. The need for the intrusive and unfunny narration is a further pointer to how messy the whole thing is, with the American release (the same version available on video) hacking out 16 minutes in a vain attempt to improve it.<br /><br />Almost completely unwatchable, this horrifically made, relentlessly unfunny movie serves only to tarnish the reputation of Stan and Ollie - avoid at all costs."|well. They're not just old, they're sick. And it's not just their physical appearance that's changed, but their acting as well. They're no longer the innocent, bumbling, childlike duo that we've come to know and love, but a pair of old men, who are no longer able to perform the slapstick that they once did so well. It's a sad sight to see, and it's a shame that this is the last time we'll ever see them|0.3590596318244934|0.08020698576972833
8||"Honest young insurance agent Ronald Reagan (as Eric Gregg) is optimistic, but poor. His wife, scheming Sheila Bromley (as Nona Gregg), longs for the finer things in life. Describing herself as ""not weighted down with tons of"|"righteousness,"" Ms. Bromley begins to spend more money than Mr. Reagan earns. Bromley obtains the finer things in life, but puts the couple in debt. Bromley is a fun shrew.<br /><br />Handsome Reagan attracts other women, like perky clerk Gloria Blondell (as Patricia Carmody); but, he doesn't indulge. To pay the bills, Bromley gets tangled up in the insurance fraud racket - which helps get her husband fired. An unemployed Reagan seems to be tempted into a life of crime - will he remain straight up, or get crooked? Clinton Rosemond has an uncomfortable ""broken arm"" scene.<br /><br />*** Accidents Will Happen (1938) William Clemens ~ Ronald Reagan, Sheila Bromley, Gloria Blondell"|"baggage,"" she is a ""free spirit"" who ""likes to have a good time."" She is also a ""little bit of a flirt."" She is not above using her feminine wiles to get what she wants. She is also a ""little bit of a flirt."" She is not above using her feminine wiles to get what she wants. She is also a ""little bit of a flirt."" She is not above using her feminine wiles to get what she wants. She is also a"|0.31277793645858765|0.10309278350515463
9||Sorry, but Jacqueline Hyde (get it??? - Jack L and Hyde - Jekyll & Hyde) has some of the worst acting this side of hardcore porn, not to mention a script apparently written by a|first-grader with undiagnosed learning disabilities.<br /><br />Jackie Hyde inherits an old mansion by a grandfather she never knew she had. Guess who? Yes, an inventor of the special formula that slowly takes over one's body and mind - yes, that Mr. Hyde! <br /><br />Despite some nice skin scenes, this film fails to register any feeling or emotion other than uncontrollable laughter.<br /><br />As much as poor Jackie tries she just can't stay away from granddaddy's special formula and the result is an hour and half of wasted time.|5-year-old. I'm not sure what the point of this movie was, but it was definitely not to entertain me. The only thing I can say in its favor is that it was short. I'm not sure if that's a good thing or a bad thing. I'm not sure if I should be offended or amused. I'm not sure if I should be angry or sad. I'm not sure if I should be scared or disgusted. I'm not sure if I should be|0.4130637049674988|0.06486486486486485
