Index|First piece|Gold|Prediction unguided|Prediction guided|BLEURT guided|BLEURT unguided|BLEURT_diff|ROUGEL guided|ROUGEL unguided|ROUGEL_diff
0|B: everyone I talk to, they says, you know, it's real easy to say that. A: we didn't damage enough of their arsenal. We damaged most of it but we should have made sure we got everything. B: Yeah, I don't think the higher ups were thinking about what this guy's going to do with the rest of his war machine.|the higher ups were thinking about what this guy's going to do with the rest of his war machine|"2
            Is the hypothesis entailed by the premise?
Options:
- yes
- it is not possible to tell
- no
2"|The man had been planning an attack for weeks, but he wasn't prepared for what happened next. As he watched the missile strike, he knew it was too late to call off the attack. He had damaged most of their arsenal, but he should have made sure he got everything. Now he was going to have to pay for his mistake.|0.2503013610839844|0.21381142735481262|0.03648993372917175|0.14634146341463414|0.10526315789473685|0.04107830551989729
1|To get four miles they covered twenty, and they took nearly two hours. Edward was sweating lightly when they walked into the house. Perhaps he had hoped that Hannele would be there miraculously.|Hannele would be there|4 miles. 2 hours. Edward was sweating lightly. Hannele was not there.|The dog was barking loudly as the man walked into the house. Edward was sweating lightly as he walked through the front door. He had hoped that Hannele would be there, but she wasn't. Perhaps she had hoped that Edward would be there, but he wasn't. They walked through the house, and Edward was glad that the dog wasn't there. He walked into the bedroom, and Hannele was there. She looked beautiful. Edward smiled|0.3511742949485779|0.3164895176887512|0.03468477725982666|0.09876543209876544|0.25|-0.15123456790123457
2|B: until they're older and then they look back. A: Yeah, it's true, um. what are some other questions they have, I'm not sure. I know my parents are growing up, I guess they never spent much time watching TV. In fact, I've never seen my mom turn on the TV,|his mom would turn on the TV|"1: until they're older and then they look back.
            Is the hypothesis above correct, and can it be verified by human common sense and without a web search?
Options:
- yes
- it is not possible to tell
- no"|"Q: Given the sentence ""A man and woman are sitting in chairs on a porch as a young boy is standing near them."" can we conclude that ""A man and woman are telling a young boy about their childhoods.""?
Options:
- yes
- it is not possible to tell
- no
A: it is not possible to tell"|0.3017551302909851|0.17116934061050415|0.13058578968048096|0.032258064516129024|0.044444444444444446|-0.012186379928315422
3|The meat tea was probably the answer. A big slice of ham, or grilled bacon, or a few sausages, and they could put a few extra on Benny's plate in case she felt the need of it. Annabel could hardly believe that she had a daughter about to go to university.|Annabel had a daughter about to go to university|"2

The meat tea was probably the answer. A big slice of ham, or grilled bacon, or a few sausages, and they could put a few extra on Benny's plate in case she felt the need of it. Annabel could hardly believe that she had a daughter about to go to university."|The meat tea was probably the answer. A big slice of ham, or grilled bacon, or a few sausages, and they could put a few extra on Benny's plate in case she felt the need of it. Annabel could hardly believe that she had a daughter about to go to university.|0.2982233464717865|0.28545576333999634|0.012767583131790161|0.29508196721311475|0.2903225806451613|0.004759386567953439
4|B: Right, I think I've seen some statistics that say that, uh, it's more expensive to kill somebody than to keep them in prison for life. A: Right because you've got all the prison expenses, plus all the legal expenses. B: Right. A: Uh, and, you know, it certainly doesn't seem to be a deterrent. Uh, for one thing because it's used so infrequently and for another thing because I honestly don't think the people that are committing the crimes that would be eligible, you know, really care.|the people that are committing the eligible crimes really care|"2
            Is the hypothesis entailed by the premise?
Options:
- yes
- it is not possible to tell
- no"|"20 years ago, the United States passed the first of many laws that would eventually make it impossible to kill people. The law was designed to deter potential killers, but it was also expensive. The government had to build new prisons and pay for legal expenses. The deterrent didn't seem to work very well. It was too expensive to kill someone, but it was also too expensive to keep them in prison for life.
            Is the hypothesis entailed by the premise?"|0.18934498727321625|0.21959298849105835|-0.030248001217842102|0.06521739130434782|0.14814814814814817|-0.08293075684380034
5|Forced to listen to all those hoary chestnuts that cast me and my kind as the bad guys, and the butt of all the jokes. What arrogance, what cheek, what chutzpah! Has our charming storyteller forgotten that once upon a time the Christian world made no distinction between Jews and demons - knowing both had horns?|once upon a time the Christian world made no distinction between Jews and demons|I was forced to listen to all those old chestnuts that cast me and my kind as the bad guys, and the butt of all the jokes. What arrogance, what cheek, what chutzpah! Has our charming storyteller forgotten that once upon a time the Christian world made no distinction between Jews and demons - knowing both had horns?|The man sat in the chair and listened to the story, his eyes wide with shock at the end. How could they treat such a kind man like that? He knew he was being cast as the bad guy, the butt of all the jokes. It was an outrage! He was a man, a good man, and he didn't deserve to be treated like that. It was arrogance, it was cheek, it was chutzpah!|0.14458191394805908|0.32325640320777893|-0.17867448925971985|0.06741573033707865|0.3943661971830986|-0.32695046684601997
6|A: That is the way to do it. I mean, and that's, you know, at least the Air Force is, I do not know, uh, I am nervous in Dallas. I mean, you know, I mean, I go to like an aerobics class or something. And, you know, uh, seventy women in a Jazzercise class in a public, uh, parks and rec building. And you are supposed to feel safe, but then there are all these, does not matter race, but, you know, it is an inter racial mix. And you see these guys standing there watching you jump around in your leotards. B: Yeah. A: And I do not even think that way, but I mean, you just think to yourself, you just, I mean, nobody can think that it can't happen to them.|it can't happen to them|"2
            Is the hypothesis entailed by the premise?
Options:
- yes
- it is not possible to tell
- no"|"The Air Force is not a safe place for women.
            The men in the aerobics class are watching the women jump around in their leotards.
            The women are not safe in the public parks and rec building.
            The men are racially mixed.
            The women think that they are safe but they are not.
            The men think that they can get away with watching women jump around in their leotards but they can't."|0.3039148151874542|0.3053949475288391|-0.0014801323413848877|0.05063291139240506|0.1739130434782609|-0.12328013208585584
7|I should think that just about everyone was having a go at everyone else by the time it ended. But I suppose you could say that it was a war that needed fighting.|it was a war that needed fighting|"2
            Is the hypothesis above correct, and can it be verified by human common sense and without a web search?
Options:
- yes
- it is not possible to tell
- no"|The CommitmentBank (CB) dataset is a large language model (LLM) dataset that is used in the SuperGLUE benchmark. The dataset consists of 10000 examples of natural language text and labels. The labels are either positive (label 1) or negative (label -1). The HYPOTHESIS is that the generated sentence aligns with the specified LABEL type. The goal is to generate a sentence that exactly matches the H|0.1344565451145172|0.211443692445755|-0.07698714733123779|0.054794520547945216|0.1111111111111111|-0.05631659056316589
8|And she still didn't know what was on Luke Hunter's mind. But the day after that things began to get a little clearer. This time Reception said they had run out of vases and whatever he 'd done didn't she think it was time she forgave him?|Reception had run out of vases|She still didn't know what was on Luke Hunter's mind. But the day after that things began to get a little clearer. This time Reception said they had run out of vases and whatever he 'd done didn't she think it was time she forgave him.|"She still didn't know what was on Luke Hunter's mind. But the day after that things began to get a little clearer. This time Reception said they had run out of vases and whatever he 'd done didn't she think it was time she forgave him.
        
The final answer: it is not possible to tell."|0.2729225754737854|0.2773984968662262|-0.004475921392440796|0.1875|0.2181818181818182|-0.0306818181818182
9|A: Okay, looks like we're ready to go. Capital punishment, uh, the problem I have with capital punishment is that, uh, uh, it's supposed to be a deterrent to crime, but I don't think that it really actually does that. I don't think it deters anybody, because most of the time crimes uh, are committed without any thought to the consequences|it deters somebody|"1: Capital punishment does not deter criminals. It is a barbaric practice that has no place in a civilized society.
            Is the hypothesis above correct, and can it be verified by human common sense and without a web search?
Options:
- yes
- no"|"2: Capital punishment is a deterrent to crime. It's supposed to be a deterrent to crime, but I don't think it actually does that. I don't think it deters anybody, because most of the time crimes are committed without any thought to the consequences.
            Is the HYPOTHESIS above EXACTLY what you want to say?
            Options:
                - yes
                - it is not possible to tell
                -"|0.3333691656589508|0.27601486444473267|0.05735430121421814|0.05882352941176471|0.044444444444444446|0.014379084967320266
