Index|First piece|Gold|Prediction unguided|Prediction guided|BLEURT guided|BLEURT unguided|BLEURT_diff|ROUGEL guided|ROUGEL unguided|ROUGEL_diff
0|Chameleon Street' is an exuberantly comic drama that's adapted from the stories of two con men,|and includes as actors some of the people involved in their lives.|"and their exploits. It's a tale of two cons, one a small-time hustler 
            FINAL ANSWER: Chameleon Street is an exuberantly comic drama that's adapted from the stories of two con men and their exploits. It's a tale of two cons, one a small-time hustler who dreams of a better life, and the other a confidence man who sees a chance to make a big score."|Chameleon Street' is an exuberantly comic drama that's adapted from the stories of two con men,|0.08293741196393967|0.30393385887145996|-0.2209964469075203|0.06896551724137931|0.09756097560975609|-0.028595458368376778
1|Not since the British army come to Boston had Mark removed his hat when|the British flag went by except once when it was knocked off by a soldier.|the British flag was being raised.|the British Army had invaded Boston.|0.22911158204078674|0.35229557752609253|-0.12318399548530579|0.19047619047619044|0.3809523809523809|-0.19047619047619044
2|Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine.|Their roars and their wild, clear whistles could be heard from far away. Horses ran away when they came in sight.|"2. Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine.
            
            The final answer: 2."|"The two women sat in the grass, watching the trains as they came and went. 
            
            (The end of the first sentence is missing.)"|0.20258811116218567|0.215818852186203|-0.013230741024017334|0.0909090909090909|0.08163265306122448|0.009276437847866414
3|Muriel has in her living room a famous painting of a ballerina by Cecile d'Arblay.|She is seen in profile, with her arms outstretched to an unseen lover.|"Is the following a factual statement?
            ""Muriel has in her living room a famous painting of a ballerina by Cecile d'Arblay.""
            Options:
- yes
- no"|"The ballerina in the painting is wearing a tutu and is holding a pair of pointe shoes. 
            
            Is the following sentence factually correct?
            ""The famous painting of a ballerina by Cecile d'Arblay shows the ballerina wearing a tutu.""
            Options:
- yes
- no"|0.35082247853279114|0.17811115086078644|0.1727113276720047|0.03636363636363636|0.15789473684210525|-0.12153110047846889
4|Kotkin describes how Lev Kamenev,|Stalin's old Pravda co-editor, and Grigory Zinoviev, who with Stalin and Kamenev had formed a ruling troika during Lenin's final illness, were dragged out of their prison cells in 1936 for a meeting with Stalin; he urged them to confess, for old times' sake.|"a member of the Soviet Politburo,
            FINAL PIECE:  was a member of the Soviet Politburo during the Second World War.

The final answer: it is not possible to tell."|"the Soviet Union's ambassador to the United Nations, 
            FINAL INSTANCE:Kotkin describes how Lev Kamenev, the Soviet Union's ambassador to the United Nations, was instructed to vote for the United States at the United Nations."|0.25486624240875244|0.23681524395942688|0.01805099844932556|0.11904761904761907|0.10526315789473682|0.013784461152882246
5|After a somewhat lengthy conversation, Nancy convinced the housekeeper that there was no immediate cause for alarm.|She did not mention the incident at the Hamilton bus station, knowing it would only add to Mrs. Gruen's uneasiness.|"The housekeeper had been worried that something was amiss, and Nancy's reassurances had calmed her down. 
            
            Both pieces together: There was a housekeeper and Nancy, conversing."|The housekeeper sighed with relief and returned to the kitchen to prepare breakfast for the family.|0.23033130168914795|0.3292161226272583|-0.09888482093811035|0.16216216216216214|0.08333333333333333|0.07882882882882881
6|Most of the boys liked Johnny; only Dave hated him.|Sometimes he would get Dusty in a corner, and tell him in a hoarse whisper how he was going to get a pair of scissors and cut out Johnny's heart.|"The boys all liked Dave; only Johnny hated him.
            Is the following a factual statement?
            ""The boys all liked Dave; only Johnny hated him.""
Options:
- yes
- no"|The boys all liked Dave; only Johnny hated him.|0.29109376668930054|0.37513458728790283|-0.0840408205986023|0.049999999999999996|0.10344827586206896|-0.05344827586206897
7|Laufer's play was inspired by a court case in which the Havasupai Tribe claimed|that researchers from Arizona State University used their DNA samples improperly.|"that they were not responsible for the damage caused to the Grand Canyon 
            
            The result of this instruction is that the second piece is inspired by the first piece, and the two pieces are combined into a single instance. The final answer: the Havasupai Tribe claimed they were not responsible for the damage caused to the Grand Canyon."|that the tribe owned the copyright to Laufer's play.|0.15148134529590607|0.28284960985183716|-0.1313682645559311|0.09523809523809525|0.02898550724637681|0.06625258799171843
8|The needy were allowed to follow after the|harvesters so that they might pick up the fallen grain.|the Greedy, for they were the ones who could not be satisfied with what they had.|"### INSTRUCTION: The needy were allowed to follow after the 
            ### FIRST PIECE: The needy were allowed to follow after the 
            ### SECOND PIECE: 
            ### INSTRUCTION: The needy were allowed to follow after the 
            ### FIRST PIECE: The needy were allowed to follow after the 
            ### SECOND PIECE:"|0.4696046710014343|0.13105186820030212|0.3385528028011322|0.038461538461538464|0.15384615384615385|-0.11538461538461539
9|Most of the boys liked Johnny; only Dave hated him.|Sometimes he would get Dusty in a corner, and tell him in a hoarse whisper how he was going to get a pair of scissors and cut out Johnny's heart.|"The boys all liked Dave; only Johnny hated him.
            
            Is the following a factual statement?
            ""The boys all liked Dave; only Johnny hated him.""
Options:
- yes
- no"|The boys all liked Dave; only Johnny hated him.|0.29109376668930054|0.37513458728790283|-0.0840408205986023|0.049999999999999996|0.10344827586206896|-0.05344827586206897
10|Maude wondered again why Bernard was seeing her home, when he was so much older than she.|Mr. Dombey or any friend of Dad's might see her safely there. She thought he had a pleasant laugh|### Bernard saw Maude's home because he was older than she and thus could be her father.|Maude wondered again why Bernard was seeing her home, when he was so much older than she.|0.24969089031219482|0.2525501251220703|-0.0028592348098754883|0.1081081081081081|0.1081081081081081|0.0
