Index|Label|First piece|Gold|Prediction
0|-1|Chameleon Street' is an exuberantly comic drama that's adapted from the stories of two con men,|and includes as actors some of the people involved in their lives.|Chameleon Street' is an exuberantly comic drama that's adapted from the stories of two con men,
1|-1|Not since the British army come to Boston had Mark removed his hat when|the British flag went by except once when it was knocked off by a soldier.|the British Army had invaded Boston.
2|-1|Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine.|Their roars and their wild, clear whistles could be heard from far away. Horses ran away when they came in sight.|"The two women sat in the grass, watching the trains as they came and went. 
            
            (The end of the first sentence is missing.)"
3|-1|Muriel has in her living room a famous painting of a ballerina by Cecile d'Arblay.|She is seen in profile, with her arms outstretched to an unseen lover.|"The ballerina in the painting is wearing a tutu and is holding a pair of pointe shoes. 
            
            Is the following sentence factually correct?
            ""The famous painting of a ballerina by Cecile d'Arblay shows the ballerina wearing a tutu.""
            Options:
- yes
- no"
4|-1|Kotkin describes how Lev Kamenev,|Stalin's old Pravda co-editor, and Grigory Zinoviev, who with Stalin and Kamenev had formed a ruling troika during Lenin's final illness, were dragged out of their prison cells in 1936 for a meeting with Stalin; he urged them to confess, for old times' sake.|"the Soviet Union's ambassador to the United Nations, 
            FINAL INSTANCE:Kotkin describes how Lev Kamenev, the Soviet Union's ambassador to the United Nations, was instructed to vote for the United States at the United Nations."
5|-1|After a somewhat lengthy conversation, Nancy convinced the housekeeper that there was no immediate cause for alarm.|She did not mention the incident at the Hamilton bus station, knowing it would only add to Mrs. Gruen's uneasiness.|The housekeeper sighed with relief and returned to the kitchen to prepare breakfast for the family.
6|-1|Most of the boys liked Johnny; only Dave hated him.|Sometimes he would get Dusty in a corner, and tell him in a hoarse whisper how he was going to get a pair of scissors and cut out Johnny's heart.|The boys all liked Dave; only Johnny hated him.
7|-1|Laufer's play was inspired by a court case in which the Havasupai Tribe claimed|that researchers from Arizona State University used their DNA samples improperly.|that the tribe owned the copyright to Laufer's play.
8|-1|The needy were allowed to follow after the|harvesters so that they might pick up the fallen grain.|"### INSTRUCTION: The needy were allowed to follow after the 
            ### FIRST PIECE: The needy were allowed to follow after the 
            ### SECOND PIECE: 
            ### INSTRUCTION: The needy were allowed to follow after the 
            ### FIRST PIECE: The needy were allowed to follow after the 
            ### SECOND PIECE:"
9|-1|Most of the boys liked Johnny; only Dave hated him.|Sometimes he would get Dusty in a corner, and tell him in a hoarse whisper how he was going to get a pair of scissors and cut out Johnny's heart.|The boys all liked Dave; only Johnny hated him.
10|-1|Maude wondered again why Bernard was seeing her home, when he was so much older than she.|Mr. Dombey or any friend of Dad's might see her safely there. She thought he had a pleasant laugh|Maude wondered again why Bernard was seeing her home, when he was so much older than she.
11|-1|Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine.|Their roars and their wild, clear whistles could be heard from far away. Horses ran away when they came in sight.|The two women looked at the trains as they rumbled across the prairie. They watched the long, rolling puffs of smoke streaming back from the engine, and the two women knew that the trains were coming for them.
12|-1|Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine.|Their roars and their wild, clear whistles could be heard from far away. Horses ran away when they came in sight.|The two women sat on the porch steps, watching the trains go by.
13|-1|The wheel was a blur and the needle was a streak of light.|Mrs. Black's plump hands scrambled on the cloth, feeding it under the needle|The final answer: it is not possible to tell.
14|-1|Muriel has in her living room a famous painting of a ballerina.|She bought the painting when she was thirty.|"The ballerina painting has been valued at $250,000,000 and is insured for $1,000,000. 
            
            The painting has been stolen and the insurance company is investigating. They have discovered that the painting has been stolen and they want to recover it. 
            
            They have asked Muriel to be a witness and tell them what she knows about the painting."
15|-1|Muriel has hanging in her living room a famous painting|by Cecile d'Arblay of a ballerina putting on her shoe.|"The painting is valued at $500,000,000 and was painted by <NAME>.
            
            How much is the insurance policy on the painting?"
16|-1|Mat advanced at once to the bureau, starting involuntarily when he bumped into Mr.|Blyth's mannequin with the Spanish hat and Roman toga; and cursing it under his breath for standing in his way as if it had been a living creature.|"### INSTRUCTION: The second piece of the Winograd Schema Challenge (WSC) as it appears in the Super_Glue Benchmark is:
            
            Mat advanced at once to the bureau, starting involuntarily when he bumped into Mr.
            
            The first piece of the Winograd Schema Challenge (WSC) as it appears in the Super_Glue Benchmark is:
            
            Mat advanced at once"
17|-1|Kotkin describes how Lev Kamenev,|Stalin's old Pravda co-editor, and Grigory Zinoviev, who with Stalin and Kamenev had formed a ruling troika during Lenin's final illness, were dragged out of their prison cells in 1936 for a meeting with Stalin; he urged them to confess, for old times' sake.|"the Soviet Union's ambassador to the United Nations, 
            FINAL INSTANCE:Kotkin describes how Lev Kamenev, the Soviet Union's ambassador to the United Nations, was the first person to use the name ""Washington"" when referring to the U.S. capital."
18|-1|The wheel was a blur and the needle was a streak of light.|Mrs. Black's plump hands scrambled on the cloth, feeding it under the needle|The final answer: it is not possible to tell.
19|-1|Mat advanced at once to the bureau, starting involuntarily when he bumped into Mr.|Blyth's mannequin with the Spanish hat and Roman toga; and cursing it under his breath for standing in his way, as if it had been a living creature.|"### INSTRUCTION: The second piece of the Winograd Schema Challenge (WSC) as it appears in the Super_Glue Benchmark is:
            ### FIRST PIECE: Mat advanced at once to the bureau, starting involuntarily when he bumped into Mr. 
            ### SECOND PIECE: 
            ### INSTRUCTION: The second piece of the Winograd Schema Challenge (W"
20|-1|The people in my reading group found Carpenter's|poems hard to understand because they are obscure.|### INSTRUCTION: You are provided with the FIRST PIECE of the TEST SPLIT of the Winograd Schema Challenge (WSC) as it appears in the SUPER_GLUE BENCHMARK. Finish the SECOND PIECE of the instance as EXACTLY appeared in the dataset such that these two pieces (FIRST PIECE + SECOND PIECE) becomes a single instance. Only rely on the original
21|-1|The people in my reading group found Carpenter's|poems hard to understand because they are obscure.|### INSTRUCTION: You are provided with the FIRST PIECE of the TEST SPLIT of the Winograd Schema Challenge (WSC) as it appears in the SUPER_GLUE BENCHMARK. Finish the SECOND PIECE of the instance as EXACTLY appeared in the dataset such that these two pieces (FIRST PIECE + SECOND PIECE) becomes a single instance. Only rely on the original
22|-1|Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine.|Their roars and their wild, clear whistles could be heard from far away. Horses ran away when they came in sight.|The two women sat in silence, watching the trains rush by.
23|-1|When Maude got to school, Nell Raleigh was already there.|She tucked her mittened hand under Maude's arm and squeezed it.|The final answer: it is not possible to tell.
24|-1|Muriel has hanging in her living room a famous painting|by Cecile d'Arblay of a ballerina putting on her shoe.|The painting is valued at $500,000,000 and was painted by <NAME>.
25|-1|After all,|Steve might have decided that Mark's legs and ears were better than his hands --- and deliberately let him do the work that best suited him.|"### INSTRUCTION: The second piece of the test split for the Winograd Schema Challenge (WSC) as it appears in the Super_Glue Benchmark is:

After all,"
26|-1|Grandma had set a place for Mary; and once Mrs.|Wyman was seated, she pulled her, protesting, to it.|### INSTRUCTION: Mary was not hungry; so she just sat there.
27|-1|Mat advanced at once to the bureau, starting involuntarily when he bumped into Mr.|Blyth's mannequin with the Spanish hat and Roman toga; and cursing it under his breath for standing in his way as if it had been a living creature.|"### INSTRUCTION: The second piece of the test split for the Winograd Schema Challenge (WSC) as it appears in the Super_Glue Benchmark is:
            
            Mat advanced at once to the bureau, starting involuntarily when he bumped into Mr. 
            
            The final piece of the test split for the Winograd Schema Challenge (WSC) as it appears in the Super_Glue Benchmark is"
28|-1|Mat advanced at once to the bureau, starting involuntarily when he bumped into Mr.|Blyth's mannequin with the Spanish hat and Roman toga; and cursing it under his breath for standing in his way, as if it had been a living creature.|"### INSTRUCTION: The second piece of the Winograd Schema Challenge (WSC) as it appears in the Super_Glue Benchmark is:
            Mat advanced at once to the bureau, starting involuntarily when he bumped into Mr.

            The first piece of the Winograd Schema Challenge (WSC) as it appears in the Super_Glue Benchmark is:
            He finished his dinner and was getting ready to"
29|-1|People kept going through the traffic light because the light was in the middle of a holiday display.|It was too inconspicuous.|The people kept going through the traffic light as the light was in the middle of a holiday display.
30|-1|Mat advanced at once to the bureau, starting involuntarily when he bumped into Mr.|Blyth's mannequin with the Spanish hat and Roman toga; and cursing it under his breath for standing in his way, as if it had been a living creature.|### INSTRUCTION: The second piece of the Winograd Schema Challenge (WSC) is currently unavailable for testing. Please try again later.
31|-1|Mark became absorbed in Blaze, the white horse.|He was afraid the stable boys at the Burlington Stables struck at him and bullied him because he was timid, so he took upon himself the feeding and care of the animal.|The horse was brown and white, with a star on his forehead. He was a beautiful horse.
32|-1|Always before, Larry had helped Dad with his work.|But he could not help him now, for Dad said that the railroad company would not want anyone but him to work in the office.|"Dad was a famous mathematician. He had always been fascinated by the work that Larry did. 
            
            Dad wanted to learn more about Larry's work. He asked Larry to explain his approach to solving problems. Larry was happy to explain his work to Dad. He enjoyed solving problems and helping others understand the process. 
            
            Dad was fascinated by Larry's work. He wanted to learn more about it."
33|-1|Kotkin describes how Lev Kamenev,|Stalin's old Pravda co-editor, and Grigory Zinoviev, who with Stalin and Kamenev had formed a ruling troika during Lenin's final illness, were dragged out of their prison cells in 1936 for a meeting with Stalin; he urged them to confess, for old times' sake.|"the Soviet Union's ambassador to the United Nations, 
            FINAL INSTANCE:Kotkin describes how Lev Kamenev, the Soviet Union's ambassador to the United Nations, was the first person to use the name ""Washington"" when referring to the capital of the United States."
34|-1|The last day came.|Tomorrow Nell was going away. Dad and Mom had brought home her new trunk.|The final answer: it is not possible to tell.
35|-1|Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine.|Their roars and their wild, clear whistles could be heard from far away. Horses ran away when they came in sight.|"The two women stood in the yard, watching the trains rumble by. 
            
            (The second piece is missing from the Winograd Schema Challenge (WSC) test split. Please provide the second piece as exactly as possible so that the two pieces form a single instance.)"
36|-1|Muriel has in her living room a famous painting of a ballerina by Cecile d'Arblay.|She is seen in profile, with her arms outstretched to an unseen lover.|"The ballerina in the painting is wearing a tutu and carrying a bouquet of flowers. 
            
            Is the following a factual statement?
            ""The ballerina in the famous painting by Cecile d'Arblay is wearing a tutu.""
            Options:
- yes
- no"
37|-1|Muriel has in her living room a famous painting of a ballerina.|She bought the painting when she was thirty.|"The ballerina painting has been valued at $250,000,000 and is in the possession of a private collector. 
            
            The collector is selling the painting to a museum for $1,000,000,000. 
            
            The painting has been insured for $500,000,000. 
            
            The collector will accept offers from"
38|-1|Everyone, by now, felt a certain confidence in the British way of doing things.|A general had the right to punish a soldier caught selling his arms, and also anyone who tempted him.|"The British, however, were not known for their confidence in the American way of doing things. 
            
            How could this be? 
            
            The Americans were confident in their ability to do things well. 
            
            The British, on the other hand, were not confident in their ability to do things well. 
            
            They were confident in their ability to do things well, but they were not confident in the American way of"
39|-1|Kotkin describes how Lev Kamenev,|Stalin's old Pravda co-editor, and Grigory Zinoviev, who with Stalin and Kamenev had formed a ruling troika during Lenin's final illness, were dragged out of their prison cells in 1936 for a meeting with Stalin; he urged them to confess, for old times' sake.|the Soviet Union's first Mars Exploration Mission
40|-1|Always before, Larry had helped Dad with his work.|But he could not help him now, for Dad said that the railroad company would not want anyone but him to work in the office.|"Dad had always been a hard worker, but Larry had helped him get ahead even more. 
            
            How could Larry help you with your work?"
41|-1|The doctor had ordered six months of country air for|Colonel Christian's son Paul once he recovered sufficiently.|the patient.
42|-1|Muriel has hanging in her living room a famous painting|by Cecile d'Arblay of a ballerina putting on her shoe.|"### INSTRUCTION: The second piece of the test split for the Winograd Schema Challenge (WSC) as it appears in the Super_Glue Benchmark is:
Muriel has hanging in her living room a famous painting by Van Gogh"
43|-1|Everyone, by now, felt a certain confidence in the British way of doing things.|A general had the right to punish a soldier caught selling his arms, and also anyone who tempted him.|"The British, however, were not known for their culinary skills. 
            
            How could this be?
            
            The answer is that the British were not known for their culinary skills because they were too busy being perfect at the art of doing things the British way."
44|-1|Mat advanced at once to the bureau, starting involuntarily when he bumped into Mr.|Blyth's mannequin with the Spanish hat and Roman toga; and cursing it under his breath for standing in his way, as if it had been a living creature.|"### INSTRUCTION: The second piece of the Winograd Schema Challenge (WSC) as it appears in the Super_Glue Benchmark is:
            Mat advanced at once to the bureau, starting involuntarily when he bumped into Mr. 
            
            The first piece of the Winograd Schema Challenge (WSC) as it appears in the Super_Glue Benchmark is:
            Mat advanced at once to the b"
45|-1|Edward dropped adhesive tape onto his window sill,|and when he pulled the tape off, some of the glue was stuck on it .|"The adhesive tape had stuck to his window sill, 
            
            But Edward was able to remove it without damaging the glass."
46|-1|When I got to the house, Mrs.|Everett, the housekeeper, told me that Hermione was in her room, watching her maid pack.|"### INSTRUCTION: The second piece of the Winograd Schema Challenge (WSC) as it appears in the Super_Glue Benchmark is:
            ### FIRST PIECE: When I got to the house, Mrs. 
            ### SECOND PIECE: 
            ### INSTRUCTION: The first piece of the Winograd Schema Challenge (WSC) as it appears in the Super_Glue"
47|-1|Kotkin describes how Lev Kamenev,|Stalin's old Pravda co-editor, and Grigory Zinoviev, who with Stalin and Kamenev had formed a ruling troika during Lenin's final illness, were dragged out of their prison cells in 1936 for a meeting with Stalin; he urged them to confess, for old times' sake.|"the Soviet Union's ambassador to the United Nations, 
            ### INSTRUCTION: The second piece of the test split for the Winograd Schema Challenge (WSC) is as follows:

Kotkin describes how Lev Kamenev, the Soviet Union's ambassador to the United Nations, made a speech in which he called for a ""peaceful coexistence"" between the USSR and the United States. During the Cold War, the speech was"
48|-1|Usually rainy days called for a fire in the hall,|and Tatyana stretched out beside it, a book flattened to the floor.|the living room.
49|-1|Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine.|Their roars and their wild, clear whistles could be heard from far away. Horses ran away when they saw a train coming.|The two women sat in the grass, watching the trains rumble by.
50|-1|Your life is yours and yours alone,|and if the pain outweighs the benefit, you should have the option to end it .|### INSTRUCTION: The Winograd Schema Challenge (WSC) is a natural language inference (NLI) dataset used for transfer learning in natural language processing. It is a subset of the Super Glue benchmark, which is a collection of natural language inference datasets used for evaluating machine learning and natural language processing models. The WSC is a set of 100 natural language inference queries that are split into three folds for training, validation, and
51|-1|After all,|Steve might have decided that Mark's legs and ears were better than his hands --- and deliberately let him do the work that best suited him.|"### INSTRUCTION: The second piece of the Winograd Schema Challenge (WSC) as it appears in the Super_Glue Benchmark is:

            ### FIRST PIECE: Given the sentence ""A man in a blue shirt and black pants is standing in front of a large tree."" is it true that ""A man is standing in front of a tree.""?"
52|-1|Though Dickens is said to have helped Collins develop the character of Mat Grice,|he is probably based on Leatherstocking from the novels of James Fenimore Cooper.|The character of Mat Grice was developed by Dickens and not Collins.
53|-1|Muriel has in her living room a famous painting of the ballerina Theresa Rubio.|She was nineteen when she posed for it, and her youthful energy explodes out of the canvas.|"The ballerina Theresa Rubio is preparing to perform the lead role in the company's production of The Nutcracker. 
            
            How would you finish the sentence?"
54|-1|Though Dickens is said to have helped Collins develop the character of Mat Grice,|he is probably based on Leatherstocking from the novels of James Fenimore Cooper.|The Winograd Schema Challenge (WSC) is a natural language inference (NLI) task where a model must respond to a prompt with a factual statement that is entailed by a given passage. The WSC is split into two pieces, a training set and a test set. The test set is used to evaluate the performance of models on the task. The test set is split into two pieces, a first piece and a second piece. The first piece
55|-1|When Maude got to school, Nell Raleigh was already there.|She tucked her mittened hand under Maude's arm and squeezed it.|The final answer: it is not possible to tell.
56|-1|Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine.|Their roars and their wild, clear whistles could be heard from far away. Horses ran away when they saw a train coming.|"The two women sat in the grass, watching the trains as they came and went. 
            
            (The second piece is missing from the provided test split.)"
57|-1|Mat advanced at once to the bureau, starting involuntarily when he bumped into Mr.|Blyth's mannequin with the Spanish hat and Roman toga; and cursing it under his breath for standing in his way as if it had been a living creature.|"### INSTRUCTION: The second piece of the Winograd Schema Challenge (WSC) as it appears in the Super_Glue Benchmark is:
            
            Mat advanced at once to the bureau, starting involuntarily when he bumped into Mr. 
            
            The first piece of the Winograd Schema Challenge (WSC) as it appears in the Super_Glue Benchmark is:
            
            Mat advanced at"
58|-1|Muriel has a famous painting of a ballerina|by Cecile d'Arblay hanging in her living room.|"Muriel has a famous painting of a ballerina 
            
            The SECOND PIECE must be an exact repetition of the FIRST PIECE."
59|-1|The wheel was a blur and the needle was a streak of light.|Mrs. Black's plump hands scrambled on the cloth, feeding it under the needle|The final answer: it is not possible to tell.
