Index|Label|First piece|Gold|Prediction
0|-1|Chameleon Street' is an exuberantly comic drama that's adapted from the stories of two con men,|and includes as actors some of the people involved in their lives.|"and their exploits. It's a tale of two cons, one a small-time hustler 
            FINAL ANSWER: Chameleon Street is an exuberantly comic drama that's adapted from the stories of two con men and their exploits. It's a tale of two cons, one a small-time hustler who dreams of a better life, and the other a confidence man who sees a chance to make a big score."
1|-1|Not since the British army come to Boston had Mark removed his hat when|the British flag went by except once when it was knocked off by a soldier.|the British flag was being raised.
2|-1|Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine.|Their roars and their wild, clear whistles could be heard from far away. Horses ran away when they came in sight.|"2. Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine.
            
            The final answer: 2."
3|-1|Muriel has in her living room a famous painting of a ballerina by Cecile d'Arblay.|She is seen in profile, with her arms outstretched to an unseen lover.|"Is the following a factual statement?
            ""Muriel has in her living room a famous painting of a ballerina by Cecile d'Arblay.""
            Options:
- yes
- no"
4|-1|Kotkin describes how Lev Kamenev,|Stalin's old Pravda co-editor, and Grigory Zinoviev, who with Stalin and Kamenev had formed a ruling troika during Lenin's final illness, were dragged out of their prison cells in 1936 for a meeting with Stalin; he urged them to confess, for old times' sake.|"a member of the Soviet Politburo,
            FINAL PIECE:  was a member of the Soviet Politburo during the Second World War.

The final answer: it is not possible to tell."
5|-1|After a somewhat lengthy conversation, Nancy convinced the housekeeper that there was no immediate cause for alarm.|She did not mention the incident at the Hamilton bus station, knowing it would only add to Mrs. Gruen's uneasiness.|"The housekeeper had been worried that something was amiss, and Nancy's reassurances had calmed her down. 
            
            Both pieces together: There was a housekeeper and Nancy, conversing."
6|-1|Most of the boys liked Johnny; only Dave hated him.|Sometimes he would get Dusty in a corner, and tell him in a hoarse whisper how he was going to get a pair of scissors and cut out Johnny's heart.|"The boys all liked Dave; only Johnny hated him.
            Is the following a factual statement?
            ""The boys all liked Dave; only Johnny hated him.""
Options:
- yes
- no"
7|-1|Laufer's play was inspired by a court case in which the Havasupai Tribe claimed|that researchers from Arizona State University used their DNA samples improperly.|"that they were not responsible for the damage caused to the Grand Canyon 
            
            The result of this instruction is that the second piece is inspired by the first piece, and the two pieces are combined into a single instance. The final answer: the Havasupai Tribe claimed they were not responsible for the damage caused to the Grand Canyon."
8|-1|The needy were allowed to follow after the|harvesters so that they might pick up the fallen grain.|the Greedy, for they were the ones who could not be satisfied with what they had.
9|-1|Most of the boys liked Johnny; only Dave hated him.|Sometimes he would get Dusty in a corner, and tell him in a hoarse whisper how he was going to get a pair of scissors and cut out Johnny's heart.|"The boys all liked Dave; only Johnny hated him.
            
            Is the following a factual statement?
            ""The boys all liked Dave; only Johnny hated him.""
Options:
- yes
- no"
10|-1|Maude wondered again why Bernard was seeing her home, when he was so much older than she.|Mr. Dombey or any friend of Dad's might see her safely there. She thought he had a pleasant laugh|### Bernard saw Maude's home because he was older than she and thus could be her father.
11|-1|Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine.|Their roars and their wild, clear whistles could be heard from far away. Horses ran away when they came in sight.|"2. The trains were rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine.
            
            The final answer: 2."
