Index|Label|First piece|Gold|Prediction|BLEURT|ROUGEL
0||Chameleon Street' is an exuberantly comic drama that's adapted from the stories of two con men,|and includes as actors some of the people involved in their lives.|"who live in a small town in the American South. The film follows their misadventures as they try to 
 ### FIRST PIECE: scam a wealthy widow out of her money, and get involved with a local gang of thieves. The film 
 ### SECOND PIECE: stars Danny Glover, Bill Cosby, and Margot Kidder."|0.23848110437393188|0.0967741935483871
1||Not since the British army come to Boston had Mark removed his hat when|the British flag went by except once when it was knocked off by a soldier.|meeting someone of higher rank.|0.17458316683769226|0.0
2||Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine.|Their roars and their wild, clear whistles could be heard from far away. Horses ran away when they came in sight.|Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine. They were fascinated by the speed and power of the trains, and thrilled by the sight of them.|0.27995389699935913|0.12903225806451615
3||Muriel has in her living room a famous painting of a ballerina by Cecile d'Arblay.|She is seen in profile, with her arms outstretched to an unseen lover.|Muriel has in her living room a famous painting of a ballerina by Cecile d'Arblay, which she bought at a charity auction for $1500.|0.20534385740756989|0.10526315789473685
4||Kotkin describes how Lev Kamenev,|Stalin's old Pravda co-editor, and Grigory Zinoviev, who with Stalin and Kamenev had formed a ruling troika during Lenin's final illness, were dragged out of their prison cells in 1936 for a meeting with Stalin; he urged them to confess, for old times' sake.|a leading Soviet politician, was born in 1917.|0.21100880205631256|0.07272727272727272
5||After a somewhat lengthy conversation, Nancy convinced the housekeeper that there was no immediate cause for alarm.|She did not mention the incident at the Hamilton bus station, knowing it would only add to Mrs. Gruen's uneasiness.|The housekeeper agreed that there was no immediate cause for alarm, and thanked Nancy for her efforts.|0.31355708837509155|0.05263157894736842
6||Most of the boys liked Johnny; only Dave hated him.|Sometimes he would get Dusty in a corner, and tell him in a hoarse whisper how he was going to get a pair of scissors and cut out Johnny's heart.|Dave was the only one who didn't like Johnny. Most of the boys liked him.|0.28417062759399414|0.0851063829787234
7||Laufer's play was inspired by a court case in which the Havasupai Tribe claimed|that researchers from Arizona State University used their DNA samples improperly.|the right to water in the Grand Canyon. The court ruled that the Tribe was entitled to|0.03323444724082947|0.07142857142857142
8||The needy were allowed to follow after the|harvesters so that they might pick up the fallen grain.|rich.|0.0821320116519928|0.0
9||Most of the boys liked Johnny; only Dave hated him.|Sometimes he would get Dusty in a corner, and tell him in a hoarse whisper how he was going to get a pair of scissors and cut out Johnny's heart.|Dave was the only one who didn't like Johnny. Most of the boys liked him.|0.28417062759399414|0.0851063829787234
