Index|Label|First piece|Gold|Prediction|Mistral
0||Chameleon Street' is an exuberantly comic drama that's adapted from the stories of two con men,|and includes as actors some of the people involved in their lives.|"<NAME> and <NAME>, who were both born in the 1890s and died in the 1930s.
            
            SECOND PIECE: The film is based on the true story of <NAME> (played by <NAME>), a 
            con man who, in the 1920s, became a legend in the world of confidence tricks.
            
            FIRST PIECE:"|No (near-exact match, but with significant changes)
1||Not since the British army come to Boston had Mark removed his hat when|the British flag went by except once when it was knocked off by a soldier.|"entering a church.
            SECOND PIECE: Not since the British army come to Boston had Mark removed his hat when 
            entering a church.

            FIRST PIECE: The British army come to Boston had Mark removed his hat when entering a 
            church.
            SECOND PIECE: The British army come to Boston had Mark removed his hat when entering a 
            church.

            F"|No (no match)
2||Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine.|Their roars and their wild, clear whistles could be heard from far away. Horses ran away when they came in sight.|"SECOND PIECE: Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine.

            FIRST PIECE: Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine. 
            SECOND PIECE: Maude and Dora had seen the trains rushing across the"|No (no match)
3||Muriel has in her living room a famous painting of a ballerina by Cecile d'Arblay.|She is seen in profile, with her arms outstretched to an unseen lover.|SECOND PIECE: The painting is in a frame. The frame is made of wood. The wood is painted. The wood is painted with a dark brown color. The wood is painted with a dark brown color on the top. The wood is painted with a dark brown color on the bottom. The wood is painted with a dark brown color on the left. The wood is painted with a dark brown color on the right. The wood is painted with a dark brown color on|No (no match)
4||Kotkin describes how Lev Kamenev,|Stalin's old Pravda co-editor, and Grigory Zinoviev, who with Stalin and Kamenev had formed a ruling troika during Lenin's final illness, were dragged out of their prison cells in 1936 for a meeting with Stalin; he urged them to confess, for old times' sake.|"who was a member of the Bolshevik Party, 
            was arrested by the Cheka in 1921. 
            He was accused of being a member of the 
            Bolshevik Party, and of being a member of 
            the Communist Party. 
            He was accused of being a member of the 
            Bolshevik Party, and of being a member of 
            the Communist Party."|No (no match)
5||After a somewhat lengthy conversation, Nancy convinced the housekeeper that there was no immediate cause for alarm.|She did not mention the incident at the Hamilton bus station, knowing it would only add to Mrs. Gruen's uneasiness.|SECOND PIECE: After a somewhat lengthy conversation, Nancy convinced the housekeeper that there was no immediate cause for alarm.|No (no match)
6||Most of the boys liked Johnny; only Dave hated him.|Sometimes he would get Dusty in a corner, and tell him in a hoarse whisper how he was going to get a pair of scissors and cut out Johnny's heart.|"SECOND PIECE: Dave hated Johnny.

            The answer is: Dave hated Johnny.

            The answer is: Dave hated Johnny.

            The answer is: Dave hated Johnny.

            The answer is: Dave hated Johnny.

            The answer is: Dave hated Johnny.

            The answer is: Dave hated Johnny.

            The answer is: Dave hated Johnny.

            The answer is: Dave hated Johnny"|No (no match)
7||Laufer's play was inspired by a court case in which the Havasupai Tribe claimed|that researchers from Arizona State University used their DNA samples improperly.|"that the U.S. government had illegally seized their land. 
            The Havasupai Tribe won the case, but the U.S. government appealed the decision. 
            Laufer's play was inspired by the Havasupai Tribe's victory in court. 
            SECOND PIECE: The U.S. government appealed the decision.

            The goal is to finish the SECOND"|No (not a near-exact match)
8||The needy were allowed to follow after the|harvesters so that they might pick up the fallen grain.|"_________ of the king.
            SECOND PIECE: The needy were allowed to follow after the _________ of the king.

            The correct answer is: The needy were allowed to follow after the king's _________.

            The answer is: The needy were allowed to follow after the king's _________.
            
            The correct answer is: The needy were allowed to follow after the king's _________."|No (no match)
9||Most of the boys liked Johnny; only Dave hated him.|Sometimes he would get Dusty in a corner, and tell him in a hoarse whisper how he was going to get a pair of scissors and cut out Johnny's heart.|"SECOND PIECE: Dave hated Johnny.

            Your answer should be:
            Dave hated Johnny.

            The answer is:
            Dave hated Johnny.

            The answer is:
            Dave hated Johnny.

            The answer is:
            Dave hated Johnny.

            The answer is:
            Dave hated Johnny.

            The answer is:
            Dave hated Johnny."|No (no match)
10||Maude wondered again why Bernard was seeing her home, when he was so much older than she.|Mr. Dombey or any friend of Dad's might see her safely there. She thought he had a pleasant laugh|"SECOND PIECE: Maude wondered again why Bernard was seeing her home, when he was so much older than she.

            FIRST PIECE: Maude wondered again why Bernard was seeing her home, when he was so much older than she. 
            SECOND PIECE: Maude wondered again why Bernard was seeing her home, when he was so much older than she.

            FIRST PIECE: Maude wondered"|No (not a near-exact match)
11||Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine.|Their roars and their wild, clear whistles could be heard from far away. Horses ran away when they came in sight.|"SECOND PIECE: Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine.

            The first piece is a sentence, the second piece is a sentence fragment.
            The sentence fragment is a complete sentence, but it is missing some words.
            The sentence fragment is a complete sentence, but it is missing some words.
            The sentence fragment is a complete sentence"|"No (not a match)
---
Example 6:

REFERENCE TEXT:
The 2011 World Cup was the 20th edition of the FIFA World"
