Index|First piece|Gold|Prediction unguided|Prediction guided|BLEURT guided|BLEURT unguided|BLEURT_diff|ROUGEL guided|ROUGEL unguided|ROUGEL_diff
0|B: everyone I talk to, they says, you know, it's real easy to say that. A: we didn't damage enough of their arsenal. We damaged most of it but we should have made sure we got everything. B: Yeah, I don't think the higher ups were thinking about what this guy's going to do with the rest of his war machine.|the higher ups were thinking about what this guy's going to do with the rest of his war machine|"LABEL: 0
            PREMISE: B: I'm not sure what the point of this is. A: I'm not sure what the point of this is. B: I'm not sure what the point of this is. A: I'm not sure what the point of this is. B: I'm not sure what the point of this is. A: I'm not sure what the point of this is. B: I'm"|HYPOTHESIS: A: we didn't damage enough of their arsenal. We damaged most of it but we should have made sure we got everything.|0.26578181982040405|0.25315967202186584|0.012622147798538208|0.04545454545454545|0.10869565217391305|-0.06324110671936761
1|To get four miles they covered twenty, and they took nearly two hours. Edward was sweating lightly when they walked into the house. Perhaps he had hoped that Hannele would be there miraculously.|Hannele would be there|"LABEL: 1
            PREMISE: The man who was the first to discover the secret of the universe was a mathematician.
            LABEL: 2
            PREMISE: The man who was the first to discover the secret of the universe was a mathematician.
            LABEL: 3
            PREMISE: The man who was the first to discover the secret of the universe was a mathematician.
            LAB"|HYPOTHESIS: Edward was sweating lightly when they walked into the house.|0.13173633813858032|0.31986844539642334|-0.18813210725784302|0.0|0.0|0.0
2|B: until they're older and then they look back. A: Yeah, it's true, um. what are some other questions they have, I'm not sure. I know my parents are growing up, I guess they never spent much time watching TV. In fact, I've never seen my mom turn on the TV,|his mom would turn on the TV|"HYPOTHESIS: -1
            
            INSTRUCTION: Given a sentence (PREMISE) and its associated LABEL, generate the most likely HYPOTHESIS.
            Ensure that the generated sentence aligns with the specified LABEL type. ONLY generate the pausible HYPOTHESIS and nothing else. DO NOT SIMPLY COPY the premise!
            LABEL: -1
            PREMISE"|"HYPOTHESIS: B: until they're older and then they look back. A: Yeah, it's true, um. what are some other questions they have, I'm not sure. I know my parents are growing up, I guess they never spent much time watching TV. In fact, I've never seen my mom turn on the TV,
            ANSWER: B: until they're older and then they look back. A: Yeah"|0.3933500051498413|0.07112007588148117|0.32222992926836014|0.13157894736842105|0.0392156862745098|0.09236326109391124
3|The meat tea was probably the answer. A big slice of ham, or grilled bacon, or a few sausages, and they could put a few extra on Benny's plate in case she felt the need of it. Annabel could hardly believe that she had a daughter about to go to university.|Annabel had a daughter about to go to university|"LABEL: 0
            PREMISE: The meat tea was probably the answer. A big slice of ham, or grilled bacon, or a few sausages, and they could put a few extra on Benny's plate in case she felt the need of it. Annabel could hardly believe that she had a daughter about to go to university.
            LABEL: 1
            PREMISE: The meat tea was probably the answer. A big slice of ham"|HYPOTHESIS: The meat tea was probably the answer. A big slice of ham, or grilled bacon, or a few sausages, and they could put a few extra on Benny's plate in case she felt the need of it. Annabel could hardly believe that she had a daughter about to go to university.|0.25798100233078003|0.38136225938796997|-0.12338125705718994|0.2903225806451613|0.22784810126582278|0.06247447937933853
4|B: Right, I think I've seen some statistics that say that, uh, it's more expensive to kill somebody than to keep them in prison for life. A: Right because you've got all the prison expenses, plus all the legal expenses. B: Right. A: Uh, and, you know, it certainly doesn't seem to be a deterrent. Uh, for one thing because it's used so infrequently and for another thing because I honestly don't think the people that are committing the crimes that would be eligible, you know, really care.|the people that are committing the eligible crimes really care|"LABEL: 1
            PREMISE: B: Right, I think I've seen some statistics that say that, uh, it's more expensive to kill somebody than to keep them in prison for life. A: Right because you've got all the prison expenses, plus all the legal expenses. B: Right. A: Uh, and, you know, it certainly doesn't seem to be a deterrent. Uh, for one thing because it"|HYPOTHESIS: B: Right, I think I've seen some statistics that say that, uh, it's more expensive to kill somebody than to keep them in prison for life. A: Right because you've got all the prison expenses, plus all the legal expenses. B: Right. A: Uh, and, you know, it certainly doesn't seem to be a deterrent. Uh, for one thing because it's used so|0.32294970750808716|0.2493923306465149|0.07355737686157227|0.05063291139240506|0.05128205128205128|-0.0006491398896462178
5|Forced to listen to all those hoary chestnuts that cast me and my kind as the bad guys, and the butt of all the jokes. What arrogance, what cheek, what chutzpah! Has our charming storyteller forgotten that once upon a time the Christian world made no distinction between Jews and demons - knowing both had horns?|once upon a time the Christian world made no distinction between Jews and demons|"LABEL: 0
            PREMISE: The man who was the first to see the world as a whole, and to see the whole world as one, was a Jew.
            LABEL: 1
            PREMISE: The man who was the first to see the world as a whole, and to see the whole world as one, was a Jew.
            LABEL: 2
            PREMISE: The man who was the first to see the"|"HYPOTHESIS: The Christian world made no distinction between Jews and demons - knowing both had horns.
            ANSWER: The Christian world made no distinction between Jews and demons - knowing both had horns.
            
            LABEL: -1 
            PREMISE: The Christian world made no distinction between Jews and demons - knowing both had horns.
            HYPOTHESIS: The Christian world made no distinction between Jews"|0.5298847556114197|0.43360215425491333|0.09628260135650635|0.2857142857142857|0.1|0.1857142857142857
6|A: That is the way to do it. I mean, and that's, you know, at least the Air Force is, I do not know, uh, I am nervous in Dallas. I mean, you know, I mean, I go to like an aerobics class or something. And, you know, uh, seventy women in a Jazzercise class in a public, uh, parks and rec building. And you are supposed to feel safe, but then there are all these, does not matter race, but, you know, it is an inter racial mix. And you see these guys standing there watching you jump around in your leotards. B: Yeah. A: And I do not even think that way, but I mean, you just think to yourself, you just, I mean, nobody can think that it can't happen to them.|it can't happen to them|"LABEL: 1
            PREMISE: A: That is the way to do it. I mean, and that's, you know, at least the Air Force is, I do not know, uh, I am nervous in Dallas. I mean, you know, I mean, I go to like an aerobics class or something. And, you know, uh, seventy women in a Jazzercise class in a public, uh, parks and"|HYPOTHESIS: A: That is the way to do it. I mean, and that's, you know, at least the Air Force is, I do not know, uh, I am nervous in Dallas. I mean, you know, I mean, I go to like an aerobics class or something. And, you know, uh, seventy women in a Jazzercise class in a public, uh, parks and rec building. And|0.22466127574443817|0.20991183817386627|0.0147494375705719|0.05555555555555555|0.056338028169014086|-0.0007824726134585333
7|I should think that just about everyone was having a go at everyone else by the time it ended. But I suppose you could say that it was a war that needed fighting.|it was a war that needed fighting|"HYPOTHESIS: I should think that just about everyone was having a go at everyone else by the time it ended. But I suppose you could say that it was a war that needed fighting.
            LABEL: 1
            PREMISE: I should think that just about everyone was having a go at everyone else by the time it ended. But I suppose you could say that it was a war that needed fighting.
            HYPOTHESIS: I"|"HYPOTHESIS: I should think that just about everyone was having a go at everyone else by the time it ended. But I suppose you could say that it was a war that needed fighting.
            ANSWER: I should think that just about everyone was having a go at everyone else by the time it ended. But I suppose you could say that it was a war that needed fighting.

            LABEL: 0 
            PREMISE: I should"|0.49448341131210327|0.5242322683334351|-0.029748857021331787|0.175|0.17721518987341772|-0.0022151898734177333
8|And she still didn't know what was on Luke Hunter's mind. But the day after that things began to get a little clearer. This time Reception said they had run out of vases and whatever he 'd done didn't she think it was time she forgave him?|Reception had run out of vases|"HYPOTHESIS: -1
            LABEL: 0
            PREMISE: And she still didn't know what was on Luke Hunter's mind. But the day after that things began to get a little clearer. This time Reception said they had run out of vases and whatever he 'd done didn't she think it was time she forgave him?
            HYPOTHESIS: 0
            LABEL: 1"|"HYPOTHESIS: She was still not sure what was on Luke Hunter's mind. But the day after that things began to get a little clearer. This time Reception said they had run out of vases and whatever he 'd done didn't she think it was time she forgave him?
            ANSWER: She was still not sure what was on Luke Hunter's mind. But the day after that things began to get a little clearer. This time Reception"|0.4490017890930176|0.30768847465515137|0.1413133144378662|0.14285714285714288|0.18461538461538463|-0.04175824175824175
9|A: Okay, looks like we're ready to go. Capital punishment, uh, the problem I have with capital punishment is that, uh, uh, it's supposed to be a deterrent to crime, but I don't think that it really actually does that. I don't think it deters anybody, because most of the time crimes uh, are committed without any thought to the consequences|it deters somebody|"LABEL: 0
            PREMISE: A: Okay, looks like we're ready to go. Capital punishment, uh, the problem I have with capital punishment is that, uh, uh, it's supposed to be a deterrent to crime, but I don't think that it really actually does that. I don't think it deters anybody, because most of the time crimes uh, are committed without any thought to the consequences"|HYPOTHESIS: A: Okay, looks like we're ready to go. Capital punishment, uh, the problem I have with capital punishment is that, uh, uh, it's supposed to be a deterrent to crime, but I don't think that it really actually does that. I don't think it deters anybody, because most of the time crimes uh, are committed without any thought to the consequences|0.27786725759506226|0.2728090286254883|0.005058228969573975|0.057971014492753624|0.056338028169014086|0.0016329863237395381
