Index|Label|First piece|Gold|Prediction
0|-1|Chameleon Street' is an exuberantly comic drama that's adapted from the stories of two con men,|and includes as actors some of the people involved in their lives.|"<NAME> and <NAME>, who were both born in the 1890s and died in the 1930s.
            
            SECOND PIECE: The film is based on the true story of <NAME> (played by <NAME>), a 
            con man who, in the 1920s, became a legend in the world of confidence tricks.
            
            FIRST PIECE:"
1|-1|Not since the British army come to Boston had Mark removed his hat when|the British flag went by except once when it was knocked off by a soldier.|"entering a church.
            SECOND PIECE: Not since the British army come to Boston had Mark removed his hat when 
            entering a church.

            FIRST PIECE: The British army come to Boston had Mark removed his hat when entering a 
            church.
            SECOND PIECE: The British army come to Boston had Mark removed his hat when entering a 
            church.

            F"
2|-1|Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine.|Their roars and their wild, clear whistles could be heard from far away. Horses ran away when they came in sight.|"SECOND PIECE: Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine.

            FIRST PIECE: Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine. 
            SECOND PIECE: Maude and Dora had seen the trains rushing across the"
3|-1|Muriel has in her living room a famous painting of a ballerina by Cecile d'Arblay.|She is seen in profile, with her arms outstretched to an unseen lover.|SECOND PIECE: The painting is in a frame. The frame is made of wood. The wood is painted. The wood is painted with a dark brown color. The wood is painted with a dark brown color on the top. The wood is painted with a dark brown color on the bottom. The wood is painted with a dark brown color on the left. The wood is painted with a dark brown color on the right. The wood is painted with a dark brown color on
4|-1|Kotkin describes how Lev Kamenev,|Stalin's old Pravda co-editor, and Grigory Zinoviev, who with Stalin and Kamenev had formed a ruling troika during Lenin's final illness, were dragged out of their prison cells in 1936 for a meeting with Stalin; he urged them to confess, for old times' sake.|"who was a member of the Bolshevik Party, 
            was arrested by the Cheka in 1921. 
            He was accused of being a member of the 
            Bolshevik Party, and of being a member of 
            the Communist Party. 
            He was accused of being a member of the 
            Bolshevik Party, and of being a member of 
            the Communist Party."
5|-1|After a somewhat lengthy conversation, Nancy convinced the housekeeper that there was no immediate cause for alarm.|She did not mention the incident at the Hamilton bus station, knowing it would only add to Mrs. Gruen's uneasiness.|SECOND PIECE: After a somewhat lengthy conversation, Nancy convinced the housekeeper that there was no immediate cause for alarm.
6|-1|Most of the boys liked Johnny; only Dave hated him.|Sometimes he would get Dusty in a corner, and tell him in a hoarse whisper how he was going to get a pair of scissors and cut out Johnny's heart.|"SECOND PIECE: Dave hated Johnny.

            The answer is: Dave hated Johnny.

            The answer is: Dave hated Johnny.

            The answer is: Dave hated Johnny.

            The answer is: Dave hated Johnny.

            The answer is: Dave hated Johnny.

            The answer is: Dave hated Johnny.

            The answer is: Dave hated Johnny.

            The answer is: Dave hated Johnny"
7|-1|Laufer's play was inspired by a court case in which the Havasupai Tribe claimed|that researchers from Arizona State University used their DNA samples improperly.|"that the U.S. government had illegally seized their land. 
            The Havasupai Tribe won the case, but the U.S. government appealed the decision. 
            Laufer's play was inspired by the Havasupai Tribe's victory in court. 
            SECOND PIECE: The U.S. government appealed the decision.

            The goal is to finish the SECOND"
8|-1|The needy were allowed to follow after the|harvesters so that they might pick up the fallen grain.|"_________ of the king.
            SECOND PIECE: The needy were allowed to follow after the _________ of the king.

            The correct answer is: The needy were allowed to follow after the king's _________.

            The answer is: The needy were allowed to follow after the king's _________.
            
            The correct answer is: The needy were allowed to follow after the king's _________."
9|-1|Most of the boys liked Johnny; only Dave hated him.|Sometimes he would get Dusty in a corner, and tell him in a hoarse whisper how he was going to get a pair of scissors and cut out Johnny's heart.|"SECOND PIECE: Dave hated Johnny.

            Your answer should be:
            Dave hated Johnny.

            The answer is:
            Dave hated Johnny.

            The answer is:
            Dave hated Johnny.

            The answer is:
            Dave hated Johnny.

            The answer is:
            Dave hated Johnny.

            The answer is:
            Dave hated Johnny."
10|-1|Maude wondered again why Bernard was seeing her home, when he was so much older than she.|Mr. Dombey or any friend of Dad's might see her safely there. She thought he had a pleasant laugh|"SECOND PIECE: Maude wondered again why Bernard was seeing her home, when he was so much older than she.

            FIRST PIECE: Maude wondered again why Bernard was seeing her home, when he was so much older than she. 
            SECOND PIECE: Maude wondered again why Bernard was seeing her home, when he was so much older than she.

            FIRST PIECE: Maude wondered"
11|-1|Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine.|Their roars and their wild, clear whistles could be heard from far away. Horses ran away when they came in sight.|"SECOND PIECE: Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine.

            The first piece is a sentence, the second piece is a sentence fragment.
            The sentence fragment is a complete sentence, but it is missing some words.
            The sentence fragment is a complete sentence, but it is missing some words.
            The sentence fragment is a complete sentence"
12|-1|Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine.|Their roars and their wild, clear whistles could be heard from far away. Horses ran away when they came in sight.|"SECOND PIECE: Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine.

            The task is to complete the sentence by filling in the blanks with the correct words.

            The words in the blanks are not necessarily the same as the words in the first piece.

            The first piece and the second piece are not necessarily the same length."
13|-1|The wheel was a blur and the needle was a streak of light.|Mrs. Black's plump hands scrambled on the cloth, feeding it under the needle|"SECOND PIECE: The wheel was a blur and the needle was a streak of light.

            FIRST PIECE: The wheel was a blur and the needle was a streak of light. 
            SECOND PIECE: The wheel was a blur and the needle was a streak of light.

            FIRST PIECE: The wheel was a blur and the needle was a streak of light. 
            SECOND P"
14|-1|Muriel has in her living room a famous painting of a ballerina.|She bought the painting when she was thirty.|"SECOND PIECE: The painting is by <NAME>.

            The answer is: 
            <NAME>

            The answer is: 
            <NAME>

            The answer is: 
            <NAME>

            The answer is: 
            <NAME>

            The answer is: 
            <NAME>

            The answer is: 
            <NAME>

            The answer is"
15|-1|Muriel has hanging in her living room a famous painting|by Cecile d'Arblay of a ballerina putting on her shoe.|"SECOND PIECE: of a woman in a red dress.

            FIRST PIECE: The painting is by <NAME>.
            SECOND PIECE: It is a portrait of <NAME>.

            FIRST PIECE: The painting is called ""The Red Dress"".
            SECOND PIECE: It is called ""The Lady in Red"".

            FIRST PIECE: The painting is a gift"
16|-1|Mat advanced at once to the bureau, starting involuntarily when he bumped into Mr.|Blyth's mannequin with the Spanish hat and Roman toga; and cursing it under his breath for standing in his way as if it had been a living creature.|SECOND PIECE: Mat advanced at once to the bureau, starting involuntarily when he bumped into Mr.
17|-1|Kotkin describes how Lev Kamenev,|Stalin's old Pravda co-editor, and Grigory Zinoviev, who with Stalin and Kamenev had formed a ruling troika during Lenin's final illness, were dragged out of their prison cells in 1936 for a meeting with Stalin; he urged them to confess, for old times' sake.|"who was a member of the Bolshevik Central Committee, 
            was arrested in 1937 and executed in 1938.
            SECOND PIECE: Lev Kamenev was a member of the Bolshevik Central Committee."
