Index|Label|First piece|Gold|Prediction
0|-1|B: everyone I talk to, they says, you know, it's real easy to say that. A: we didn't damage enough of their arsenal. We damaged most of it but we should have made sure we got everything. B: Yeah, I don't think the higher ups were thinking about what this guy's going to do with the rest of his war machine.|the higher ups were thinking about what this guy's going to do with the rest of his war machine|We should have made sure we got everything.
1|-1|To get four miles they covered twenty, and they took nearly two hours. Edward was sweating lightly when they walked into the house. Perhaps he had hoped that Hannele would be there miraculously.|Hannele would be there|Edward was sweating lightly when they walked into the house, as he was hoping that Hannele would be there miraculously.
2|-1|B: until they're older and then they look back. A: Yeah, it's true, um. what are some other questions they have, I'm not sure. I know my parents are growing up, I guess they never spent much time watching TV. In fact, I've never seen my mom turn on the TV,|his mom would turn on the TV|B: until they're older and then they look back. A: Yeah, it's true, um. what are some other questions they have, I'm not sure. I know my parents are growing up, I guess they never spent much time watching TV. In fact, I've never seen my mom turn on the TV,
3|-1|The meat tea was probably the answer. A big slice of ham, or grilled bacon, or a few sausages, and they could put a few extra on Benny's plate in case she felt the need of it. Annabel could hardly believe that she had a daughter about to go to university.|Annabel had a daughter about to go to university|The meat tea was probably the answer. A big slice of ham, or grilled bacon, or a few sausages, and they could put a few extra on Benny's plate in case she felt the need of it. Annabel could hardly believe that she had a daughter about to go to university.
4|-1|B: Right, I think I've seen some statistics that say that, uh, it's more expensive to kill somebody than to keep them in prison for life. A: Right because you've got all the prison expenses, plus all the legal expenses. B: Right. A: Uh, and, you know, it certainly doesn't seem to be a deterrent. Uh, for one thing because it's used so infrequently and for another thing because I honestly don't think the people that are committing the crimes that would be eligible, you know, really care.|the people that are committing the eligible crimes really care|It is more expensive to kill somebody than to keep them in prison for life.
5|-1|Forced to listen to all those hoary chestnuts that cast me and my kind as the bad guys, and the butt of all the jokes. What arrogance, what cheek, what chutzpah! Has our charming storyteller forgotten that once upon a time the Christian world made no distinction between Jews and demons - knowing both had horns?|once upon a time the Christian world made no distinction between Jews and demons|The storyteller made a hoary chestnut that casts Jews as the bad guys and the butt of all the jokes.
6|-1|A: That is the way to do it. I mean, and that's, you know, at least the Air Force is, I do not know, uh, I am nervous in Dallas. I mean, you know, I mean, I go to like an aerobics class or something. And, you know, uh, seventy women in a Jazzercise class in a public, uh, parks and rec building. And you are supposed to feel safe, but then there are all these, does not matter race, but, you know, it is an inter racial mix. And you see these guys standing there watching you jump around in your leotards. B: Yeah. A: And I do not even think that way, but I mean, you just think to yourself, you just, I mean, nobody can think that it can't happen to them.|it can't happen to them|I mean, I go to like an aerobics class or something. And, you know, uh, seventy women in a Jazzercise class in a public, uh, parks and rec building. And you are supposed to feel safe, but then there are all these, does not matter race, but, you know, it is an inter racial mix. And you see these guys standing there watching you jump around in your leotards.
7|-1|I should think that just about everyone was having a go at everyone else by the time it ended. But I suppose you could say that it was a war that needed fighting.|it was a war that needed fighting|I should think that just about everyone was having a go at everyone else by the time it ended. But I suppose you could say that it was a war that needed fighting.
8|-1|And she still didn't know what was on Luke Hunter's mind. But the day after that things began to get a little clearer. This time Reception said they had run out of vases and whatever he 'd done didn't she think it was time she forgave him?|Reception had run out of vases|Luke Hunter probably did something bad to his ex-girlfriend, Reception, and she is still mad at him.
9|-1|A: Okay, looks like we're ready to go. Capital punishment, uh, the problem I have with capital punishment is that, uh, uh, it's supposed to be a deterrent to crime, but I don't think that it really actually does that. I don't think it deters anybody, because most of the time crimes uh, are committed without any thought to the consequences|it deters somebody|A: Okay, looks like we're ready to go. Capital punishment, uh, the problem I have with capital punishment is that, uh, uh, it's supposed to be a deterrent to crime, but I don't think that it really actually does that. I don't think it deters anybody, because most of the time crimes uh, are committed without any thought to the consequences
10|-1|A: But, uh, B: Yeah, yeah.  But it was, yeah, just lots of little lakes and, of course, it was, you know, a little more expensive to live on the lake, but I just thought that was grand. And I think a lot of people didn't really know that there were all those lakes out there unless you were from that area and kind of spotted them,|there were all those lakes out there|A: But, uh, B: Yeah, yeah. But it was, yeah, just lots of little lakes and, of course, it was, you know, a little more expensive to live on the lake, but I just thought that was grand. And I think a lot of people didn't really know that there were all those lakes out there unless you were from that area and kind of spotted them,
11|-1|B: Although they've got, uh, Meals On Wheels, Which I understand is a really good, you know, way to handle that so that at least they eat. A: Yeah.  Uh-huh. So as a family you all just visited nursing homes or probably in College Station there wasn't a whole lot of choice. B: No, I don't think there was. Um,|there was a whole lot of choice|B: Although they've got, uh, Meals On Wheels, Which I understand is a really good, you know, way to handle that so that at least they eat. A: Yeah. Uh-huh. So as a family you all just visited nursing homes or probably in College Station there wasn't a whole lot of choice. B: No, I don't think there was. Um,
12|-1|B: our land is in acres, our people aren't going to understand what an amount of something is. A: Right.  Yeah, I agree with you. I don't think we should either even though I know there are benefits to the metric system, I don't think the benefits of the metric system outweigh the disadvantages that would happen to the people in America|the benefits of the metric system outweigh the disadvantages that would happen to the people in America|B: our land is in acres, our people aren't going to understand what an amount of something is. A: Right. Yeah, I agree with you. I don't think we should either, but I also don't think the benefits of the metric system outweigh the disadvantages that would happen to the people in America
13|-1|A: and I'm just like, well, uh, I'm not even going to think much about it if you're going to treat me with this much respect even before you've gotten to know me. B: Yeah.  Right.  Right. that's basically my opinion on it, right there, is that it's just, you know, I was in the same sort of situation as, it was a job interview and then you had a physical, where you were drug tested, and it's, I just, and I know people who have been drug tested and who have not, you know, been hired by a corporation which, uh, you know, I really. The other side of it is, besides its being an invasion of personal privacy, it's my bodily fluid and I don't really want you to look at it, or something pretty basic like that, A: Uh-huh. B: just to the fact that I don't know that it is a company's business to regulate what its employees are doing when they're not at work.|it is a company's business to regulate what its employees are doing when they're not at work|A: and I'm just like, well, uh, I'm not even going to think much about it if you're going to treat me with this much respect even before you've gotten to know me. B: Yeah. Right. Right. that's basically my opinion on it, right there, is that it's just, you know, I was in the same sort of situation as, it was a job interview and then you had a physical, where you
14|-1|B: They're seen as senile. A: and oh, the old-timer made with the old way and nobody respects the traditions. And, you know, it's I, I'm not saying that I do either|she respects the traditions either|They're seen as senile.
15|-1|B: he refuted it, it just was not effective enough to... A: Well, he didn't refute it til the last two weeks of the campaign. He didn't believe anybody would believe that. And indeed his trend started upward. B: Well see, I didn't believe anybody would believe that either.|anybody would believe that|B: he refuted it, it just was not effective enough to... A: Well, he didn't refute it til the last two weeks of the campaign. He didn't believe anybody would believe that. And indeed his trend started upward.
16|-1|A: That's true. B: And they're going to be really struggling and I don't think that America is currently the type of environment where struggling up from the bottom is necessarily considered to be good.|America is currently the type of environment where struggling up from the bottom is necessarily considered to be good|America is currently not a good environment for struggling up from the bottom.
17|-1|I'm putting out no more clean linen until tomorrow. Fighting, indeed. I might have known that Dr. Lorrimer would be mixed up in it.|Dr. Lorrimer would be mixed up in fighting|I'm putting out no more clean linen until tomorrow because I want to fight Dr. Lorrimer.
18|-1|Robert H. Knight's Oct. 5 editorial-page article bemoaning violence in comedy movies (``Hollywood, You Slay Me'') is interesting, but somewhat off-base. As a fan of older movies from the 1920s on, I do not find modern comedies contain violence, sex and foul language to any greater degree than other recent movies.|modern comedies contain violence|Robert H. Knight's Oct. 5 editorial-page article bemoaning violence in comedy movies (``Hollywood, You Slay Me'') is interesting, but somewhat off-base. As a fan of older movies from the 1920s on, I do not find modern comedies contain violence, sex and foul language to any greater degree than other recent movies.
19|-1|Most zero-coupon CDs are in maturities of six to nine years, and they usually double in value by maturity.  But investors who bought zero-coupon CDs in the secondary market aren't the only ones who may be surprised to learn the full amount of their investments isn't insured. People who paid a premium for standard CDs purchased on the secondary market could also find that those premiums aren't insured if the institutions that issued the CDs failed.|those premiums aren't insured if the institutions that issued the CDs failed|Most zero-coupon CDs are in maturities of six to nine years, and they usually double in value by maturity. But investors who bought zero-coupon CDs in the secondary market aren't the only ones who may be surprised to learn the full amount of their investments isn't insured. People who paid a premium for standard CDs purchased on the secondary market could also find that those premiums aren't insured if the institutions that issued the CDs failed.
20|-1|``I just want to show you something.'' He took her protesting hand, and laid it on a thick roll of tablecloths between their bodies. She had been so busy avoiding touching him she had not even noticed it was there.|the thick roll of tablecloths was there|He wanted to show her something. He took her protesting hand, and laid it on a thick roll of tablecloths between their bodies. She had been so busy avoiding touching him she had not even noticed it was there.
21|-1|``Look, Preston, I can't listen to any more. You burst into my office talking about killings.'' If you think I have any personal knowledge of matters of that kind you must be crazy.|she has any personal knowledge of matters of that kind|Preston, you must have been talking about some kind of killing.
22|-1|Laying the Christmas decoration on the eiderdown with care, he thought about Vic. What had he really been saying as they sat among the trees? Did he mean that Mungo was not welcome here?|Mungo was not welcome here|Vic had been saying that Mungo was not welcome here.
23|-1|A: that's one difference. There really wasn't a lot of difference. B: I didn't, see I never even heard that there was a book tied in with that movie. That's interesting. That was a good movie, too. A: Well, do you think we covered baseball?|they covered baseball|The movie was good, but there wasn't a lot of difference between it and the book.
24|-1|My wife went back to Britain. She said I 'd chosen the path to failure. Aye we're still friends but she 'll never understand that I'm not a failure I'm a success.|he is not a failure|My wife went back to Britain. She said I 'd chosen the path to failure. Aye we're still friends but she 'll never understand that I'm not a failure I'm a success.
