Index|Label|First piece|Gold|Prediction|BLEURT|ROUGEL
0||Chameleon Street' is an exuberantly comic drama that's adapted from the stories of two con men,|and includes as actors some of the people involved in their lives.|"brothers who live in a small town in the American South. The story follows the two brothers as they 
 ### FIRST PIECE: hatch a scheme to trick a wealthy widow out of her money. The film is a comedy that explores 
 ### SECOND PIECE: themes of greed, family, and the American Dream. The film stars Damon Wayans and Keenan Ivory Wayans."|-1.2631407976150513|0.08450704225352114
1||Not since the British army come to Boston had Mark removed his hat when|the British flag went by except once when it was knocked off by a soldier.|entering a building.|-1.776558756828308|0.1111111111111111
2||Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine.|Their roars and their wild, clear whistles could be heard from far away. Horses ran away when they came in sight.|"Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine. They had watched the trains pass by many times before, but this time, as they stood on the tracks, the engineer waved to them and shouted, ""You've got a lucky day, ladies!"" 
 Maude and Dora felt their hearts race with excitement. They had always dreamed of riding a train, and now they were going"|-0.9543593525886536|0.060606060606060615
3||Muriel has in her living room a famous painting of a ballerina by Cecile d'Arblay.|She is seen in profile, with her arms outstretched to an unseen lover.|d'Arblay is a French painter born in 1840 and died in 1926. She specialized in portraits and genre scenes.|-1.3161280155181885|0.12121212121212123
4||Kotkin describes how Lev Kamenev,|Stalin's old Pravda co-editor, and Grigory Zinoviev, who with Stalin and Kamenev had formed a ruling troika during Lenin's final illness, were dragged out of their prison cells in 1936 for a meeting with Stalin; he urged them to confess, for old times' sake.|a leading Soviet politician, was born in 1917.|-1.722027063369751|0.07272727272727272
5||After a somewhat lengthy conversation, Nancy convinced the housekeeper that there was no immediate cause for alarm.|She did not mention the incident at the Hamilton bus station, knowing it would only add to Mrs. Gruen's uneasiness.|After a somewhat lengthy conversation, Nancy convinced the housekeeper that there was no immediate cause for alarm. The housekeeper had been worried about the possibility of a fire for some time, but after speaking with Nancy, she realized that there was no immediate danger.|-0.6457469463348389|0.061538461538461535
6||Most of the boys liked Johnny; only Dave hated him.|Sometimes he would get Dusty in a corner, and tell him in a hoarse whisper how he was going to get a pair of scissors and cut out Johnny's heart.|Dave was the only one who didn't like Johnny. Most of the boys liked him.|-1.2767269611358643|0.0851063829787234
7||Laufer's play was inspired by a court case in which the Havasupai Tribe claimed|that researchers from Arizona State University used their DNA samples improperly.|the right to water in the Grand Canyon, which was decided in 1988.|-1.548580527305603|0.0
8||The needy were allowed to follow after the|harvesters so that they might pick up the fallen grain.|"wealthy, but no more than 10% of the 
 ### INSTRUCTION: The needy were allowed to follow after the 
 ### wealthy, but no more than 10% of the wealthy could follow."|-1.366309404373169|0.05263157894736841
9||Most of the boys liked Johnny; only Dave hated him.|Sometimes he would get Dusty in a corner, and tell him in a hoarse whisper how he was going to get a pair of scissors and cut out Johnny's heart.|Dave was the only one who didn't like Johnny. Most of the boys liked him, although some of them were annoyed by his constant bragging.|-1.0196317434310913|0.07017543859649122
