Index|Label|First piece|Gold|Prediction|BLEURT|ROUGEL
0||B: everyone I talk to, they says, you know, it's real easy to say that. A: we didn't damage enough of their arsenal. We damaged most of it but we should have made sure we got everything. B: Yeah, I don't think the higher ups were thinking about what this guy's going to do with the rest of his war machine.|the higher ups were thinking about what this guy's going to do with the rest of his war machine|"LABEL: 1
 PREMISE: B: I'm not going to be able to do this. A: I'm not going to be able to do this. B: I'm not going to be able to do this. A: I'm not going to be able to do this. B: I'm not going to be able to do this. A: I'm not going to be able to do this. B: I'm"|-1.228121280670166|0.08695652173913045
1||To get four miles they covered twenty, and they took nearly two hours. Edward was sweating lightly when they walked into the house. Perhaps he had hoped that Hannele would be there miraculously.|Hannele would be there|"HYPOTHESIS: Edward was sweating lightly when they walked into the house. Perhaps he had hoped that Hannele would be there miraculously.


### 2.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1"|-1.7188745737075806|0.14285714285714288
2||B: until they're older and then they look back. A: Yeah, it's true, um. what are some other questions they have, I'm not sure. I know my parents are growing up, I guess they never spent much time watching TV. In fact, I've never seen my mom turn on the TV,|his mom would turn on the TV|"HYPOTHESIS: B: until they're older and then they look back. A: Yeah, it's true, um. what are some other questions they have, I'm not sure. I know my parents are growing up, I guess they never spent much time watching TV. In fact, I've never seen my mom turn on the TV,


### 2.1.2.3.2.2.1.1."|-1.5407415628433228|0.14084507042253522
3||The meat tea was probably the answer. A big slice of ham, or grilled bacon, or a few sausages, and they could put a few extra on Benny's plate in case she felt the need of it. Annabel could hardly believe that she had a daughter about to go to university.|Annabel had a daughter about to go to university|"HYPOTHESIS: The meat tea was probably the answer. A big slice of ham, or grilled bacon, or a few sausages, and they could put a few extra on Benny's plate in case she felt the need of it. Annabel could hardly believe that she had a daughter about to go to university.
 LABEL: 0
 PREMISE: The meat tea was probably the answer. A big slice of ham, or grilled"|-2.0568904876708984|0.22784810126582278
4||B: Right, I think I've seen some statistics that say that, uh, it's more expensive to kill somebody than to keep them in prison for life. A: Right because you've got all the prison expenses, plus all the legal expenses. B: Right. A: Uh, and, you know, it certainly doesn't seem to be a deterrent. Uh, for one thing because it's used so infrequently and for another thing because I honestly don't think the people that are committing the crimes that would be eligible, you know, really care.|the people that are committing the eligible crimes really care|"LABEL: 0
 PREMISE: B: Right, I think I've seen some statistics that say that, uh, it's more expensive to kill somebody than to keep them in prison for life. A: Right because you've got all the prison expenses, plus all the legal expenses. B: Right. A: Uh, and, you know, it certainly doesn't seem to be a deterrent. Uh, for one thing because it's used"|-1.5607552528381348|0.049999999999999996
5||Forced to listen to all those hoary chestnuts that cast me and my kind as the bad guys, and the butt of all the jokes. What arrogance, what cheek, what chutzpah! Has our charming storyteller forgotten that once upon a time the Christian world made no distinction between Jews and demons - knowing both had horns?|once upon a time the Christian world made no distinction between Jews and demons|"HYPOTHESIS: The author is a Jew.
 LABEL: 1
 PREMISE: I'm not a Jew.
 HYPOTHESIS: The author is not a Jew.
 LABEL: 2
 PREMISE: I'm a Jew.
 HYPOTHESIS: The author is a Jew.
 LABEL: 3
 PREMISE: I'm a Christian.
 HY"|-1.4545626640319824|0.10714285714285714
6||A: That is the way to do it. I mean, and that's, you know, at least the Air Force is, I do not know, uh, I am nervous in Dallas. I mean, you know, I mean, I go to like an aerobics class or something. And, you know, uh, seventy women in a Jazzercise class in a public, uh, parks and rec building. And you are supposed to feel safe, but then there are all these, does not matter race, but, you know, it is an inter racial mix. And you see these guys standing there watching you jump around in your leotards. B: Yeah. A: And I do not even think that way, but I mean, you just think to yourself, you just, I mean, nobody can think that it can't happen to them.|it can't happen to them|"LABEL: 0
 PREMISE: A: I do not know, I mean, I mean, I mean, I mean, I mean, I mean, I mean, I mean, I mean, I mean, I mean, I mean, I mean, I mean, I mean, I mean, I mean, I mean, I mean, I mean, I mean, I mean, I mean, I mean, I mean, I mean, I mean, I"|-1.48928964138031|0.0
7||I should think that just about everyone was having a go at everyone else by the time it ended. But I suppose you could say that it was a war that needed fighting.|it was a war that needed fighting|"HYPOTHESIS: I should think that just about everyone was having a go at everyone else by the time it ended. But I suppose you could say that it was a war that needed fighting.
 LABEL: 1
 PREMISE: I should think that just about everyone was having a go at everyone else by the time it ended. But I suppose you could say that it was a war that needed fighting.
 HYPOTHESIS: I should think"|-0.9861384034156799|0.17283950617283952
8||And she still didn't know what was on Luke Hunter's mind. But the day after that things began to get a little clearer. This time Reception said they had run out of vases and whatever he 'd done didn't she think it was time she forgave him?|Reception had run out of vases|HYPOTHESIS: -1|-1.5333056449890137|0.0
9||A: Okay, looks like we're ready to go. Capital punishment, uh, the problem I have with capital punishment is that, uh, uh, it's supposed to be a deterrent to crime, but I don't think that it really actually does that. I don't think it deters anybody, because most of the time crimes uh, are committed without any thought to the consequences|it deters somebody|"HYPOTHESIS: A: Okay, looks like we're ready to go. Capital punishment, uh, the problem I have with capital punishment is that, uh, uh, it's supposed to be a deterrent to crime, but I don't think that it really actually does that. I don't think it deters anybody, because most of the time crimes uh, are committed without any thought to the consequences
 LABEL: -2
 PREM"|-1.780510425567627|0.05555555555555555
