Index|First piece|Gold|Prediction unguided|Prediction guided|BLEURT guided|BLEURT unguided|BLEURT_diff|ROUGEL guided|ROUGEL unguided|ROUGEL_diff
0|Chameleon Street' is an exuberantly comic drama that's adapted from the stories of two con men,|and includes as actors some of the people involved in their lives.|"one black, one white.
 SECOND PIECE: Chameleon Street' is an exuberantly comic drama that's adapted from the stories of two con men, one black, one white."|"'Chameleon' and 'Street' who are partners in crime.
 SECOND PIECE: The movie is a comedy about two con men, 'Chameleon' and 'Street' who are partners in crime."|-1.053165316581726|-1.4268839359283447|0.37371861934661865|0.15384615384615383|0.05128205128205128|0.10256410256410255
1|Not since the British army come to Boston had Mark removed his hat when|the British flag went by except once when it was knocked off by a soldier.|"he entered a building.
 SECOND PIECE: Mark removed his hat when he entered the building."|"he entered a church.
 SECOND PIECE: Mark was not wearing a hat when he entered the church.

The SECOND PIECE is the FIRST PIECE with the word ""Mark"" replaced by ""Mary"".

**Note:**

- The FIRST PIECE is the first piece of the test split of the Winograd Schema Challenge (WSC) as it appears in the SUPER_GLUE BENCHMARK."|-1.504411220550537|-1.19293212890625|-0.3114790916442871|0.08333333333333333|0.06666666666666667|0.016666666666666663
2|Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine.|Their roars and their wild, clear whistles could be heard from far away. Horses ran away when they came in sight.|"SECOND PIECE: The two girls were sitting on the porch of their house, watching the trains go by.
 SECOND PIECE: The two girls were sitting on the porch of their house, watching the trains go by.
 SECOND PIECE: The two girls were sitting on the porch of their house, watching the trains go by.
 SECOND PIECE: The two girls were sitting on the porch of their house, watching the trains go by."|SECOND PIECE: Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine.|-1.081519603729248|-1.1018632650375366|0.020343661308288574|0.08695652173913043|0.043010752688172046|0.043945769050958386
3|Muriel has in her living room a famous painting of a ballerina by Cecile d'Arblay.|She is seen in profile, with her arms outstretched to an unseen lover.|"SECOND PIECE: Muriel has in her living room a famous painting of a ballerina by Cecile d'Arblay.
 SECOND PIECE: Muriel has in her living room a famous painting of a ballerina by Cecile d'Arblay.
 SECOND PIECE: Muriel has in her living room a famous painting of a ballerina by Cecile d'Arblay.
 SECOND PIECE:"|The painting is on a large canvas. The painting is on a large canvas. The painting is on a large canvas. The painting is on a large canvas. The painting is on a large canvas. The painting is on a large canvas. The painting is on a large canvas. The painting is on a large canvas. The painting is on a large canvas. The painting is on a large canvas. The painting is on a large canvas. The painting is on a large canvas. The painting is on|-0.9216393828392029|-1.07294499874115|0.15130561590194702|0.019801980198019802|0.05797101449275363|-0.038169034294733825
4|Kotkin describes how Lev Kamenev,|Stalin's old Pravda co-editor, and Grigory Zinoviev, who with Stalin and Kamenev had formed a ruling troika during Lenin's final illness, were dragged out of their prison cells in 1936 for a meeting with Stalin; he urged them to confess, for old times' sake.|"a Bolshevik leader, was executed in 1936.
 SECOND PIECE: The execution of Lev Kamenev was a political move to consolidate power.

INSTRUCTION: Finish the THIRD PIECE based on the FIRST PIECE, such that these two pieces become a single instance. Only respond with the most likely completion. Do not respond with the original sentence or the instruction.
 FIRST PIECE: The execution of"|"a member of the Politburo, was arrested in 1936.
 SECOND PIECE: Kamenev was arrested in 1936.

### 1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1"|-1.2234997749328613|-1.0807061195373535|-0.1427936553955078|0.08602150537634408|0.09174311926605505|-0.005721613889710972
5|After a somewhat lengthy conversation, Nancy convinced the housekeeper that there was no immediate cause for alarm.|She did not mention the incident at the Hamilton bus station, knowing it would only add to Mrs. Gruen's uneasiness.|"SECOND PIECE: After a somewhat lengthy conversation, Nancy convinced the housekeeper that there was no immediate cause for alarm.
 SECOND PIECE: After a somewhat lengthy conversation, Nancy convinced the housekeeper that there was no immediate cause for alarm.
 SECOND PIECE: After a somewhat lengthy conversation, Nancy convinced the housekeeper that there was no immediate cause for alarm.
 SECOND PIECE: After a somewhat lengthy conversation, Nancy convinced the housekeeper that"|"SECOND PIECE: After a somewhat lengthy conversation, Nancy convinced the housekeeper that there was no immediate cause for alarm.

You are provided with the FIRST PIECE of the TEST SPLIT of the Winograd Schema Challenge (WSC) as it appears in the SUPER_GLUE BENCHMARK. Finish the SECOND PIECE of the instance as EXACTLY appeared in the dataset such that these two pieces (FIRST"|-1.4727537631988525|-0.8202016949653625|-0.65255206823349|0.07142857142857142|0.044444444444444446|0.02698412698412698
6|Most of the boys liked Johnny; only Dave hated him.|Sometimes he would get Dusty in a corner, and tell him in a hoarse whisper how he was going to get a pair of scissors and cut out Johnny's heart.|SECOND PIECE: Johnny was a good friend of mine.|SECOND PIECE: Johnny was a good boy.|-1.7041847705841064|-1.710196852684021|0.006012082099914551|0.10526315789473685|0.15000000000000002|-0.04473684210526317
7|Laufer's play was inspired by a court case in which the Havasupai Tribe claimed|that researchers from Arizona State University used their DNA samples improperly.|"ownership of the Grand Canyon.
 SECOND PIECE: The Havasupai Tribe claimed ownership of the Grand Canyon."|"that the U.S. government had violated their rights by allowing uranium mining on their reservation.
 SECOND PIECE: The Havasupai Tribe claimed that the U.S. government had violated their rights by allowing uranium mining on their reservation.

The SECOND PIECE is to be finished by you.

### Example 1

 1. The Havasupai Tribe claimed that the U.S. government had violated their rights by allowing uranium"|-0.9758683443069458|-1.2871911525726318|0.31132280826568604|0.05194805194805195|0.0|0.05194805194805195
8|The needy were allowed to follow after the|harvesters so that they might pick up the fallen grain.|"rich.
 SECOND PIECE: The needy were allowed to follow after the rich."|"rich.
 SECOND PIECE: The needy were allowed to follow after the rich."|-1.2877094745635986|-1.2877094745635986|0.0|0.0909090909090909|0.0909090909090909|0.0
9|Most of the boys liked Johnny; only Dave hated him.|Sometimes he would get Dusty in a corner, and tell him in a hoarse whisper how he was going to get a pair of scissors and cut out Johnny's heart.|"SECOND PIECE: Dave was the only boy who didn’t like Johnny.
 SECOND PIECE: Dave was the only boy who didn’t like Johnny.
 SECOND PIECE: Dave was the only boy who didn’t like Johnny.
 SECOND PIECE: Dave was the only boy who didn’t like Johnny.
 SECOND PIECE: Dave was the only boy who didn’t like Johnny.
 SECOND PIEC"|SECOND PIECE: Dave liked Johnny; only Dave hated Johnny.|-1.536745548248291|-1.3138378858566284|-0.2229076623916626|0.049999999999999996|0.04301075268817204|0.006989247311827956
