Index|Label|First piece|Gold|Prediction|Mistral
0||Chameleon Street' is an exuberantly comic drama that's adapted from the stories of two con men,|and includes as actors some of the people involved in their lives.|"'Chameleon' and 'Street' who are partners in crime.
 SECOND PIECE: The movie is a comedy about two con men, 'Chameleon' and 'Street' who are partners in crime."|"Yes (near-exact match)
        
        Reference Text: The movie is a comedy about two con men, 'Chameleon' and 'Street'"
1||Not since the British army come to Boston had Mark removed his hat when|the British flag went by except once when it was knocked off by a soldier.|"he entered a church.
 SECOND PIECE: Mark was not wearing a hat when he entered the church.

The SECOND PIECE is the FIRST PIECE with the word ""Mark"" replaced by ""Mary"".

**Note:**

- The FIRST PIECE is the first piece of the test split of the Winograd Schema Challenge (WSC) as it appears in the SUPER_GLUE BENCHMARK."|"No (not a near-exact match) 

The task is to determine if the candidate text is a near-exact match of the reference text."
2||Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine.|Their roars and their wild, clear whistles could be heard from far away. Horses ran away when they came in sight.|SECOND PIECE: Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine.|"No (not a match) 
        Note: The answer is No because the candidate text does not match the reference text in terms of sentence structure,"
3||Muriel has in her living room a famous painting of a ballerina by Cecile d'Arblay.|She is seen in profile, with her arms outstretched to an unseen lover.|The painting is on a large canvas. The painting is on a large canvas. The painting is on a large canvas. The painting is on a large canvas. The painting is on a large canvas. The painting is on a large canvas. The painting is on a large canvas. The painting is on a large canvas. The painting is on a large canvas. The painting is on a large canvas. The painting is on a large canvas. The painting is on a large canvas. The painting is on|"No (not a near-exact match) 
        Note: The candidate text is not a near-exact match because the reference text is a sentence"
4||Kotkin describes how Lev Kamenev,|Stalin's old Pravda co-editor, and Grigory Zinoviev, who with Stalin and Kamenev had formed a ruling troika during Lenin's final illness, were dragged out of their prison cells in 1936 for a meeting with Stalin; he urged them to confess, for old times' sake.|"a member of the Politburo, was arrested in 1936.
 SECOND PIECE: Kamenev was arrested in 1936.

### 1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1"|"No
        Reference Text: Stalin's old Pravda co-editor, and Grigory Zinoviev, who with Stalin and Kamene"
5||After a somewhat lengthy conversation, Nancy convinced the housekeeper that there was no immediate cause for alarm.|She did not mention the incident at the Hamilton bus station, knowing it would only add to Mrs. Gruen's uneasiness.|"SECOND PIECE: After a somewhat lengthy conversation, Nancy convinced the housekeeper that there was no immediate cause for alarm.

You are provided with the FIRST PIECE of the TEST SPLIT of the Winograd Schema Challenge (WSC) as it appears in the SUPER_GLUE BENCHMARK. Finish the SECOND PIECE of the instance as EXACTLY appeared in the dataset such that these two pieces (FIRST"|"No (not a near-exact match) 

        Reference Text: The new policy will be implemented on January 1st, 2024."
6||Most of the boys liked Johnny; only Dave hated him.|Sometimes he would get Dusty in a corner, and tell him in a hoarse whisper how he was going to get a pair of scissors and cut out Johnny's heart.|SECOND PIECE: Johnny was a good boy.|"No (exact match) 
        Note: The candidate text does not match the reference text in terms of sentence structure, overlap, and contextual similarity."
7||Laufer's play was inspired by a court case in which the Havasupai Tribe claimed|that researchers from Arizona State University used their DNA samples improperly.|"that the U.S. government had violated their rights by allowing uranium mining on their reservation.
 SECOND PIECE: The Havasupai Tribe claimed that the U.S. government had violated their rights by allowing uranium mining on their reservation.

The SECOND PIECE is to be finished by you.

### Example 1

 1. The Havasupai Tribe claimed that the U.S. government had violated their rights by allowing uranium"|"No
        2. The U.S. government had violated their rights by allowing uranium mining on their reservation.
        Answer:  Yes"
8||The needy were allowed to follow after the|harvesters so that they might pick up the fallen grain.|"rich.
 SECOND PIECE: The needy were allowed to follow after the rich."|"No (not a near-exact match)
        
        Reference Text: The company has been working on a new project to develop a new type of battery"
9||Most of the boys liked Johnny; only Dave hated him.|Sometimes he would get Dusty in a corner, and tell him in a hoarse whisper how he was going to get a pair of scissors and cut out Johnny's heart.|SECOND PIECE: Dave liked Johnny; only Dave hated Johnny.|"No (not a match) 
        Example 6:  
        Reference Text: The company has a long history of innovation and has developed a number"
10||Maude wondered again why Bernard was seeing her home, when he was so much older than she.|Mr. Dombey or any friend of Dad's might see her safely there. She thought he had a pleasant laugh|SECOND PIECE: Maude wondered again why Bernard was seeing her home, when he was so much older than she.|"No (not a match) 
        Example 6:  
        Reference Text: The new policy will be implemented in the coming weeks."
11||Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine.|Their roars and their wild, clear whistles could be heard from far away. Horses ran away when they came in sight.|SECOND PIECE: Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine.|"No (not near-exact match) 

        Note: The reference texts are provided for your reference only. Do not copy them into your response."
12||Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine.|Their roars and their wild, clear whistles could be heard from far away. Horses ran away when they came in sight.|SECOND PIECE: Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine.|"No (not near-exact match) 

        The task requires the candidate to compare the reference text with the candidate text and determine if they are exact"
13||The wheel was a blur and the needle was a streak of light.|Mrs. Black's plump hands scrambled on the cloth, feeding it under the needle|"SECOND PIECE: The wheel was a blur and the needle was a streak of light.

The first line of the test file contains the number of test instances, T.

For each test instance, the first line contains a string of length 100, which is the FIRST PIECE.

The second line contains a string of length 100, which is the SECOND PIECE.

For each test instance, print a"|"Yes or No, depending on whether the SECOND PIECE is a near-exact match of the FIRST PIECE.

        Input
        5"
14||Muriel has in her living room a famous painting of a ballerina.|She bought the painting when she was thirty.|The ballerina is wearing a pink tutu and is dancing on a stage. The stage is in front of a blue curtain. The painting is hanging on the wall. The painting is signed by the artist. The artist is a famous painter. The famous painter is a woman. The famous woman painter is a famous dancer. The famous dancer is a famous actress. The famous actress is a famous singer. The famous singer is a famous dancer. The famous dancer is a famous painter. The famous|"No (not a match) 
        Note: The candidate text does not contain any information about the painting or the woman who bought it. It is"
15||Muriel has hanging in her living room a famous painting|by Cecile d'Arblay of a ballerina putting on her shoe.|"by Vincent van Gogh. The painting is of a crow on a wheat field. The painting is called ""The Starry Night"".
 SECOND PIECE: Muriel has hanging in her living room a famous painting by Vincent van Gogh. The painting is of a crow on a wheat field. The painting is called ""The Starry Night""."|"No (not near-exact match)
        
        Example 7:  
        Reference Text: The new policy will be implemented in the coming months."
16||Mat advanced at once to the bureau, starting involuntarily when he bumped into Mr.|Blyth's mannequin with the Spanish hat and Roman toga; and cursing it under his breath for standing in his way as if it had been a living creature.|SECOND PIECE: Mat advanced at once to the bureau, starting involuntarily when he bumped into Mr.|"No (not a near-exact match) 
        Note: The reference text is a passage from a book, and the candidate text is a sentence"
17||Kotkin describes how Lev Kamenev,|Stalin's old Pravda co-editor, and Grigory Zinoviev, who with Stalin and Kamenev had formed a ruling troika during Lenin's final illness, were dragged out of their prison cells in 1936 for a meeting with Stalin; he urged them to confess, for old times' sake.|"a prominent Bolshevik, was arrested in 1936.
 SECOND PIECE: Kamenev was arrested in 1936."|"No (not a near-exact match) 

        Example 7:  
        Reference Text: The 2008 Beijing Olympics, officially known as"
18||The wheel was a blur and the needle was a streak of light.|Mrs. Black's plump hands scrambled on the cloth, feeding it under the needle|SECOND PIECE: The wheel was a blur and the needle was a streak of light.|"No (not a match) 

        Note: The reference texts are provided for your reference only. Do not copy them. You can use the candidate"
19||Mat advanced at once to the bureau, starting involuntarily when he bumped into Mr.|Blyth's mannequin with the Spanish hat and Roman toga; and cursing it under his breath for standing in his way, as if it had been a living creature.|SECOND PIECE: The clerk was a man of few words, but he was very polite.|"No (not near-exact match) 
        Note: The reference text is a passage from a book, and the candidate text is a sentence from"
20||The people in my reading group found Carpenter's|poems hard to understand because they are obscure.|"book to be very interesting.
 SECOND PIECE: The people in my reading group found Carpenter's book to be very interesting."|"No (not near-exact match) 
        The people in my reading group found Carpenter's book to be very interesting.
        Answer:  No"
21||The people in my reading group found Carpenter's|poems hard to understand because they are obscure.|"book to be a good read.
 SECOND PIECE: The people in my reading group found Carpenter's book to be a good read."|"No (not near-exact match) 
        Note: The first piece is a reference text, and the second piece is a candidate text. The"
22||Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine.|Their roars and their wild, clear whistles could be heard from far away. Horses ran away when they came in sight.|SECOND PIECE: Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine.|"No (not a match) 
        Note: The answer is not Yes because the candidate text does not match the reference text in terms of sentence structure"
23||When Maude got to school, Nell Raleigh was already there.|She tucked her mittened hand under Maude's arm and squeezed it.|SECOND PIECE: When Maude got to school, Nell Raleigh was already there.|"No (not a match) 
        Note: The candidate text does not match the reference text in terms of sentence structure, overlap, and contextual similarity"
24||Muriel has hanging in her living room a famous painting|by Cecile d'Arblay of a ballerina putting on her shoe.|of a woman. The woman is wearing a red dress. The woman is looking at the viewer. The woman is holding a red flower. The woman is standing in front of a red curtain. The woman is standing in front of a red wall. The woman is standing in front of a red table. The woman is standing in front of a red chair. The woman is standing in front of a red door. The woman is standing in front of a red window. The woman is standing in front|"No (not a near-exact match) 
        Note: The candidate text is not a near-exact match of the reference text. The candidate"
25||After all,|Steve might have decided that Mark's legs and ears were better than his hands --- and deliberately let him do the work that best suited him.|"it was a very nice day.
 SECOND PIECE: I was very happy."|"No (not near-exact match)
        
        Example 7:  
        Reference Text: The company has been working on a new product that is"
26||Grandma had set a place for Mary; and once Mrs.|Wyman was seated, she pulled her, protesting, to it.|"Jones had been there.
 SECOND PIECE: Mary had been there once; and once Mrs. Jones had set a place for Grandma.

### Solution

```
SECOND PIECE: Mary had been there once; and once Mrs. Jones had set a place for Grandma."|"No
```

The final answer is $\boxed{No}$."
27||Mat advanced at once to the bureau, starting involuntarily when he bumped into Mr.|Blyth's mannequin with the Spanish hat and Roman toga; and cursing it under his breath for standing in his way as if it had been a living creature.|SECOND PIECE: Mr. and Mrs.|"No (exact match) 
        Note: The candidate text does not match the reference text in terms of sentence structure, overlap, and contextual similarity."
28||Mat advanced at once to the bureau, starting involuntarily when he bumped into Mr.|Blyth's mannequin with the Spanish hat and Roman toga; and cursing it under his breath for standing in his way, as if it had been a living creature.|SECOND PIECE: Mat advanced at once to the bureau, starting involuntarily when he bumped into Mr.|"No (not a near-exact match) 
        Note: The answer is No because the candidate text does not match the reference text in terms of"
29||People kept going through the traffic light because the light was in the middle of a holiday display.|It was too inconspicuous.|"SECOND PIECE: The light was in the middle of a holiday display.

The dataset is in the form of a text file. Each line is a single instance.


### Input

The input is a text file. Each line is a single instance.


### Output

The output is a text file. Each line is a single instance.


### Constraints

The input is a text file. Each"|"No (not a near-exact match) 

Note: The provided text is an example of a reference text and a candidate text. The task is"
30||Mat advanced at once to the bureau, starting involuntarily when he bumped into Mr.|Blyth's mannequin with the Spanish hat and Roman toga; and cursing it under his breath for standing in his way, as if it had been a living creature.|SECOND PIECE: Mat advanced at once to the bureau, starting involuntarily when he bumped into Mr.|"No (not a near-exact match) 
        Note: The reference text is a quote from a novel. The candidate text is a snippet from"
31||Mark became absorbed in Blaze, the white horse.|He was afraid the stable boys at the Burlington Stables struck at him and bullied him because he was timid, so he took upon himself the feeding and care of the animal.|SECOND PIECE: Mark became absorbed in Blaze, the white horse.|"No (not a match) 
        Note: The reference text does not match the candidate text. The candidate text appears to be a separate piece of"
32||Always before, Larry had helped Dad with his work.|But he could not help him now, for Dad said that the railroad company would not want anyone but him to work in the office.|"SECOND PIECE: Larry had helped Dad with his work.

The FIRST PIECE is a sentence that contains a verb and a noun. The SECOND PIECE is a sentence that contains the same verb and noun.

The FIRST PIECE is a sentence that contains a verb and a noun. The SECOND PIECE is a sentence that contains the same verb and noun.

The FIRST PIECE is a sentence that contains a verb and"|No
33||Kotkin describes how Lev Kamenev,|Stalin's old Pravda co-editor, and Grigory Zinoviev, who with Stalin and Kamenev had formed a ruling troika during Lenin's final illness, were dragged out of their prison cells in 1936 for a meeting with Stalin; he urged them to confess, for old times' sake.|"a leading Bolshevik, was arrested in 1918.
 SECOND PIECE: The arrest of Lev Kamenev was a result of the fact that he was a leading Bolshevik."|"No (not near-exact match) 
        Note: The reference text is not a near-exact match of the candidate text. The candidate text"
34||The last day came.|Tomorrow Nell was going away. Dad and Mom had brought home her new trunk.|SECOND PIECE: The last day came.|"No (not a match)
        
        Reference Text: The 2019 World Cup was the 21st edition of the FIFA World Cup, an"
35||Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine.|Their roars and their wild, clear whistles could be heard from far away. Horses ran away when they came in sight.|SECOND PIECE: Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine.|"No (not near-exact match) 
        Note: The answer is No because the candidate text does not match the reference text in terms of sentence"
36||Muriel has in her living room a famous painting of a ballerina by Cecile d'Arblay.|She is seen in profile, with her arms outstretched to an unseen lover.|"The ballerina is depicted in the pose of a grand jeté, a leap in which the ballerina's right leg is extended behind her. The painting is in a frame that is 12 inches wide.
 SECOND PIECE: Muriel has in her living room a famous painting of a ballerina by Cecile d'Arblay. The ballerina is depicted in the pose of a grand jeté, a leap in which the ballerina"|"No (not a near-exact match) 
        The final answer is: $\boxed{Yes}$"
37||Muriel has in her living room a famous painting of a ballerina.|She bought the painting when she was thirty.|"SECOND PIECE: The ballerina is wearing a pink tutu.

The ballerina is wearing a pink tutu."|"No (no match) 

        Reference Text: The company has been working on a new product for several years.
        Candidate Text: The company has"
38||Everyone, by now, felt a certain confidence in the British way of doing things.|A general had the right to punish a soldier caught selling his arms, and also anyone who tempted him.|SECOND PIECE: Everyone, by now, felt a certain confidence in the British way of doing things.|"No (not a match) 
        Example 6:  
        Reference Text: The 2010 FIFA World Cup was the 19th FIFA"
39||Kotkin describes how Lev Kamenev,|Stalin's old Pravda co-editor, and Grigory Zinoviev, who with Stalin and Kamenev had formed a ruling troika during Lenin's final illness, were dragged out of their prison cells in 1936 for a meeting with Stalin; he urged them to confess, for old times' sake.|"a Bolshevik leader, was executed in 1936.
 SECOND PIECE: The execution of Lev Kamenev was a political event."|"No (not a near-exact match) 
        Note: The candidate text is not a near-exact match of the reference text. The candidate"
40||Always before, Larry had helped Dad with his work.|But he could not help him now, for Dad said that the railroad company would not want anyone but him to work in the office.|SECOND PIECE: Larry had always helped Dad with his work.|"No (not a match) 
        Example 6:  
        Reference Text: The company has been working on a new product, which is expected"
41||The doctor had ordered six months of country air for|Colonel Christian's son Paul once he recovered sufficiently.|"the patient.
 SECOND PIECE: The patient had been ordered to take six months of country air.

The doctor had ordered six months of country air for the patient.
The patient had been ordered to take six months of country air."|"No (not near-exact match) 
        The candidate text does not match the reference text in terms of sentence structure, overlap, and contextual similarity"
42||Muriel has hanging in her living room a famous painting|by Cecile d'Arblay of a ballerina putting on her shoe.|"by the artist Van Gogh. The painting is of a field of sunflowers. Muriel's dog, a golden retriever, is named Sunflower. Muriel's cat, a tabby, is named Van Gogh. Muriel's husband, a man named Vincent, is a painter. Muriel's husband, Vincent, is a painter.
 SECOND PIECE: Muriel has hanging in her living room a famous painting by the artist Van"|"No (not near-exact match) 
        Note: The second piece is not a near-exact match because it contains new information not present in"
43||Everyone, by now, felt a certain confidence in the British way of doing things.|A general had the right to punish a soldier caught selling his arms, and also anyone who tempted him.|SECOND PIECE: The British way of doing things was a certain confidence in everyone.|"No (not a match) 
        Note: The reference text is a quote from the book ""The British Way in a Foreign Country"" by L"
44||Mat advanced at once to the bureau, starting involuntarily when he bumped into Mr.|Blyth's mannequin with the Spanish hat and Roman toga; and cursing it under his breath for standing in his way, as if it had been a living creature.|SECOND PIECE: Mat advanced at once to the bureau, starting involuntarily when he bumped into Mr.|"No (not a match) 
        Note: The answer is not Yes because the candidate text does not match the reference text in terms of sentence structure"
45||Edward dropped adhesive tape onto his window sill,|and when he pulled the tape off, some of the glue was stuck on it .|"but he didn't know that it would stick to the window.
 SECOND PIECE: Edward dropped adhesive tape onto his window sill, but he didn't know that it would stick to the window."|"Yes (near-exact match) 
        Note: The near-exact match is not a perfect match, but it has the same sentence structure and"
46||When I got to the house, Mrs.|Everett, the housekeeper, told me that Hermione was in her room, watching her maid pack.|"Jones was waiting for me.
 SECOND PIECE: When I got to the house, Mrs. Jones was waiting for me."|"No (not a near-exact match)
        
        Reference Text: The company has been working on a new product, which is expected to be released"
47||Kotkin describes how Lev Kamenev,|Stalin's old Pravda co-editor, and Grigory Zinoviev, who with Stalin and Kamenev had formed a ruling troika during Lenin's final illness, were dragged out of their prison cells in 1936 for a meeting with Stalin; he urged them to confess, for old times' sake.|"a Bolshevik leader, was arrested and executed.
 SECOND PIECE: Lev Kamenev was arrested and executed."|"No (not a near-exact match) 
        Note: The reference text is not a near-exact match of the candidate text. The candidate"
48||Usually rainy days called for a fire in the hall,|and Tatyana stretched out beside it, a book flattened to the floor.|"but the fire was out.
 SECOND PIECE: The fire was out, so we called for a fire in the hall."|"No (not a near-exact match) 
        Note: The second piece is not a near-exact match of the first piece. The first"
49||Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine.|Their roars and their wild, clear whistles could be heard from far away. Horses ran away when they saw a train coming.|"SECOND PIECE: Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine.

The SECOND PIECE is the same as the FIRST PIECE except that the word ""puffs"" is replaced with ""puffs of black smoke""."|"No (not a near-exact match) 

        Example 7:  
        Reference Text: The 2012 Summer Olympics, officially known as"
50||Your life is yours and yours alone,|and if the pain outweighs the benefit, you should have the option to end it .|"and you must make the most of it.
 SECOND PIECE: You must make the most of your life.

The dataset contains 1000 instances.

The dataset is provided in the following format:

```
[
 [
 [
 [
 [
 [
 [
 [
 [
 [
 [
 [
 [
 [
 [
 [
 [
 [
 [
 [
 [
 [
 [
 ["|"Yes
```

The final answer is: $\boxed{Yes}$"
51||After all,|Steve might have decided that Mark's legs and ears were better than his hands --- and deliberately let him do the work that best suited him.|"the only thing that really matters is the ___.
 SECOND PIECE: The ___ is the only thing that really matters."|"Yes (near-exact match) 
        Note: The candidate text is a near-exact match of the reference text. The candidate text has the"
52||Though Dickens is said to have helped Collins develop the character of Mat Grice,|he is probably based on Leatherstocking from the novels of James Fenimore Cooper.|"the two men had a falling out in 1859.
 SECOND PIECE: The two men had a falling out in 1859."|"Yes (exact match)
        
        Example 7:  
        Reference Text: The 2012 Summer Olympics, officially known as the Games of the"
53||Muriel has in her living room a famous painting of the ballerina Theresa Rubio.|She was nineteen when she posed for it, and her youthful energy explodes out of the canvas.|"The painting is signed by the painter.
 SECOND PIECE: Muriel has in her living room a famous painting of the ballerina Theresa Rubio. The painting is signed by the painter."|"No (not a near-exact match) 
        The second piece is not a near-exact match of the first piece. The first piece is"
54||Though Dickens is said to have helped Collins develop the character of Mat Grice,|he is probably based on Leatherstocking from the novels of James Fenimore Cooper.|"he was not the only author to have done so.
 SECOND PIECE: Though Dickens is said to have helped Collins develop the character of Mat Grice, he was not the only author to have done so.

The dataset is provided in the following format:

 The FIRST PIECE is in the first line of the file.
 The SECOND PIECE is in the second line of the file.

The dataset is provided in the following format:"|"Yes
        Reference Text: The first piece of text
        Candidate Text: The second piece of text

Please respond with the answer to the task"
55||When Maude got to school, Nell Raleigh was already there.|She tucked her mittened hand under Maude's arm and squeezed it.|SECOND PIECE: When Maude got to school, Nell Raleigh was already there.|"No (not a match) 

        Reference Text: The company has been working on a new project to improve the efficiency of its manufacturing process."
56||Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine.|Their roars and their wild, clear whistles could be heard from far away. Horses ran away when they saw a train coming.|"SECOND PIECE: Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine.

### 1.1.1. Description of the dataset

The Winograd Schema Challenge (WSC) is a dataset that contains 1000 test instances. The dataset is a collection of sentences with a single word missing. The missing word is replaced by a pronoun"|No (not a Winograd Schema Challenge dataset)
57||Mat advanced at once to the bureau, starting involuntarily when he bumped into Mr.|Blyth's mannequin with the Spanish hat and Roman toga; and cursing it under his breath for standing in his way as if it had been a living creature.|SECOND PIECE: The bureau was in the corner of the room, and Mr.|"No (not a match) 
        Note: The answer is ""No"" because the candidate text does not match the reference text in terms of sentence"
58||Muriel has a famous painting of a ballerina|by Cecile d'Arblay hanging in her living room.|".
 SECOND PIECE: The ballerina is in the painting."|"No (not a match) 
        The first piece is a sentence about a painting, and the second piece is a sentence about a ballerina"
59||The wheel was a blur and the needle was a streak of light.|Mrs. Black's plump hands scrambled on the cloth, feeding it under the needle|SECOND PIECE: The wheel was a blur and the needle was a streak of light.|"No (not a match)
        
        Reference Text: The company has been working on a new product for several years
        Candidate Text: The company"
60||The needy were allowed to follow after the|harvesters so that they might pick up the fallen grain.|"rich.
 SECOND PIECE: The needy were allowed to follow after the rich."|"Yes (near-exact match)
        
        Reference Text: The rich were allowed to follow after the needy.
        Answer: No (not a near"
