Index|Label|First piece|Gold|Prediction
0|-1|Chameleon Street' is an exuberantly comic drama that's adapted from the stories of two con men,|and includes as actors some of the people involved in their lives.|"'Chameleon Street' and 'The Con Man's Son'.
 SECOND PIECE: Chameleon Street' is an exuberantly comic drama that's adapted from the stories of two con men, 'Chameleon Street' and 'The Con Man's Son'."
1|-1|Not since the British army come to Boston had Mark removed his hat when|the British flag went by except once when it was knocked off by a soldier.|"he saw a lady.
 SECOND PIECE: Mark was not wearing a hat when he saw a lady."
2|-1|Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine.|Their roars and their wild, clear whistles could be heard from far away. Horses ran away when they came in sight.|"SECOND PIECE: Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine.

The SECOND PIECE is the same as the FIRST PIECE, but with the word ""puffs"" replaced with ""puffs of black smoke"".

The SECOND PIECE is the same as the FIRST PIECE, but with the word ""puffs"" replaced with"
3|-1|Muriel has in her living room a famous painting of a ballerina by Cecile d'Arblay.|She is seen in profile, with her arms outstretched to an unseen lover.|"The ballerina is wearing a pink tutu and is shown from the back. Muriel's living room is decorated with a red carpet and a red sofa. Muriel is a fan of the famous French actress Cecile d'Arblay. Muriel is a fan of the famous French actress Cecile d'Arblay.
 SECOND PIECE: Muriel has in her living room a famous painting of a ballerina by Cecile d'Arblay"
4|-1|Kotkin describes how Lev Kamenev,|Stalin's old Pravda co-editor, and Grigory Zinoviev, who with Stalin and Kamenev had formed a ruling troika during Lenin's final illness, were dragged out of their prison cells in 1936 for a meeting with Stalin; he urged them to confess, for old times' sake.|"a Soviet politician, was executed by Stalin in 1936.
 SECOND PIECE: Kamenev was executed by Stalin in 1936.

The answer is:

 SECOND PIECE: Kamenev was executed by Stalin in 1936."
5|-1|After a somewhat lengthy conversation, Nancy convinced the housekeeper that there was no immediate cause for alarm.|She did not mention the incident at the Hamilton bus station, knowing it would only add to Mrs. Gruen's uneasiness.|SECOND PIECE: After a somewhat lengthy conversation, Nancy convinced the housekeeper that there was no immediate cause for alarm.
6|-1|Most of the boys liked Johnny; only Dave hated him.|Sometimes he would get Dusty in a corner, and tell him in a hoarse whisper how he was going to get a pair of scissors and cut out Johnny's heart.|SECOND PIECE: Johnny was a boy; Dave was a boy.
7|-1|Laufer's play was inspired by a court case in which the Havasupai Tribe claimed|that researchers from Arizona State University used their DNA samples improperly.|"that the United States government had violated the tribe's rights by allowing uranium mining on their reservation.
 SECOND PIECE: The Havasupai Tribe claimed that the United States government had violated their rights by allowing uranium mining on their reservation."
8|-1|The needy were allowed to follow after the|harvesters so that they might pick up the fallen grain.|"rich.
 SECOND PIECE: The needy were allowed to follow after the rich."
9|-1|Most of the boys liked Johnny; only Dave hated him.|Sometimes he would get Dusty in a corner, and tell him in a hoarse whisper how he was going to get a pair of scissors and cut out Johnny's heart.|"SECOND PIECE: Dave was the only boy who didn't like Johnny.

The SECOND PIECE is a single sentence.

The dataset is provided in the following format:

```
<FIRST PIECE>
<SECOND PIECE>
```

The dataset is provided in the following format:

```
<FIRST PIECE>
<SECOND PIECE>"
10|-1|Maude wondered again why Bernard was seeing her home, when he was so much older than she.|Mr. Dombey or any friend of Dad's might see her safely there. She thought he had a pleasant laugh|SECOND PIECE: Maude wondered again why Bernard was seeing her home, when he was so much older than she.
11|-1|Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine.|Their roars and their wild, clear whistles could be heard from far away. Horses ran away when they came in sight.|SECOND PIECE: Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine.
12|-1|Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine.|Their roars and their wild, clear whistles could be heard from far away. Horses ran away when they came in sight.|SECOND PIECE: Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine.
13|-1|The wheel was a blur and the needle was a streak of light.|Mrs. Black's plump hands scrambled on the cloth, feeding it under the needle|SECOND PIECE: The wheel was a blur and the needle was a streak of light.
14|-1|Muriel has in her living room a famous painting of a ballerina.|She bought the painting when she was thirty.|The ballerina is wearing a pink tutu and has a white face. Muriel is a painter and she is painting a portrait of a ballerina. The ballerina in the portrait is wearing a pink tutu and has a white face. Muriel is a painter and she is painting a portrait of a ballerina. The ballerina in the portrait is wearing a pink tutu and has a white face. Muriel is a painter and she is painting a portrait of
15|-1|Muriel has hanging in her living room a famous painting|by Cecile d'Arblay of a ballerina putting on her shoe.|"by a famous artist. The painting is of a famous person. The famous person is a famous actor. The famous actor is famous for playing a famous role in a famous movie. The famous movie is famous for being famous.
 SECOND PIECE: Muriel has hanging in her living room a famous painting by a famous artist. The painting is of a famous person. The famous person is famous for playing a famous role in a famous movie. The famous movie is famous for being famous."
16|-1|Mat advanced at once to the bureau, starting involuntarily when he bumped into Mr.|Blyth's mannequin with the Spanish hat and Roman toga; and cursing it under his breath for standing in his way as if it had been a living creature.|SECOND PIECE: Mat advanced at once to the bureau, starting involuntarily when he bumped into Mr.
17|-1|Kotkin describes how Lev Kamenev,|Stalin's old Pravda co-editor, and Grigory Zinoviev, who with Stalin and Kamenev had formed a ruling troika during Lenin's final illness, were dragged out of their prison cells in 1936 for a meeting with Stalin; he urged them to confess, for old times' sake.|"a member of the Politburo, was killed in a car accident.
 SECOND PIECE: The car accident was caused by a drunk driver."
18|-1|The wheel was a blur and the needle was a streak of light.|Mrs. Black's plump hands scrambled on the cloth, feeding it under the needle|SECOND PIECE: The wheel was a blur and the needle was a streak of light.
19|-1|Mat advanced at once to the bureau, starting involuntarily when he bumped into Mr.|Blyth's mannequin with the Spanish hat and Roman toga; and cursing it under his breath for standing in his way, as if it had been a living creature.|SECOND PIECE: Mat advanced at once to the bureau, starting involuntarily when he bumped into Mr.
20|-1|The people in my reading group found Carpenter's|poems hard to understand because they are obscure.|"book to be very interesting.
 SECOND PIECE: The people in my reading group found Carpenter's book to be very interesting."
